rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	APC	adenomatous polyposis coli	8592	0	0	169	269	267	25	104	665	295	372	1.000000e-16	1.000000e-05	9.999900e-01	1.000000e-16	4.567250e-13
2	TP53	tumor protein p53	1890	0	0	63	258	35	22	23	338	232	189	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	4.567250e-13
3	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	4	0	17	43	17	4	19	83	72	63	1.000000e-16	1.000000e-05	8.857000e-02	1.000000e-16	4.567250e-13
4	RNF43	ring finger protein 43	2384	5	0	1	15	2	1	37	55	46	27	1.000000e-16	1.000000e-05	3.217200e-01	1.000000e-16	4.567250e-13
5	SOX9	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	1538	1	0	0	7	5	1	27	40	36	37	1.000000e-16	4.200000e-02	4.690000e-01	2.220446e-16	8.113066e-13
6	FAM123B	family with sequence similarity 123B	3412	25	0	6	19	24	0	10	53	50	41	1.242202e-14	4.400000e-02	8.740000e-01	6.084022e-14	1.852483e-10
7	TXNDC2	thioredoxin domain-containing 2 (spermatozoa)	1672	46	0	2	5	1	0	19	25	22	9	2.783226e-10	1.000000e-05	9.705500e-01	9.603429e-14	2.506358e-10
8	ACVR1B	activin A receptor, type IB	1679	9	0	0	21	6	0	3	30	26	25	7.085104e-11	1.200000e-04	1.225900e-01	3.068656e-13	7.007661e-10
9	B2M	beta-2-microglobulin	374	4	0	1	6	2	5	6	19	15	14	3.445087e-13	2.700000e-02	2.120000e-01	4.095613e-13	7.567462e-10
10	BCOR	BCL6 co-repressor	5324	0	0	5	9	9	2	8	28	27	25	5.703867e-12	6.640000e-02	4.100000e-03	4.142242e-13	7.567462e-10
11	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	2709	0	0	17	63	9	12	4	88	74	65	3.359240e-09	1.000000e-05	3.298300e-01	1.075806e-12	1.786718e-09
12	MLH1	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	4163	1	0	14	37	2	16	8	63	53	45	2.006296e-08	1.000000e-05	8.466000e-02	6.066481e-12	9.235711e-09
13	NTAN1	N-terminal asparagine amidase	971	2	0	1	2	0	0	8	10	10	5	3.376478e-08	1.000000e-05	9.933000e-01	1.003375e-11	1.394737e-08
14	ZFP36L2	zinc finger protein 36, C3H type-like 2	1489	23	0	1	1	1	0	12	14	14	11	8.192299e-11	1.700000e-03	2.943000e-01	1.068823e-11	1.394737e-08
