rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1314	60	0	0	78	4	7	8	97	80	60	1.851640e-15	1.000000e-05	1.000000e-05	1.000000e-16	6.754967e-13
2	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	2361	3	0	0	14	1	2	16	33	32	27	1.000000e-16	1.000000e-05	4.367000e-02	1.000000e-16	6.754967e-13
3	RB1	retinoblastoma 1 (including osteosarcoma)	2891	63	0	1	0	9	9	7	25	24	22	1.000000e-16	2.057000e-01	2.900000e-02	1.110223e-16	6.754967e-13
4	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	8807	1	0	1	4	12	5	14	35	29	34	1.000000e-16	2.310000e-01	8.820000e-01	1.221245e-15	5.572848e-12
5	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	58	0	0	46	15	7	21	89	86	72	4.117264e-15	7.000000e-02	5.030000e-01	1.831868e-14	6.687417e-11
6	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	1277	583	0	0	14	0	0	0	14	14	2	1.041551e-13	8.600000e-03	9.318000e-01	3.341771e-14	1.016623e-10
7	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	2	0	0	23	2	1	5	31	28	27	2.369656e-08	2.000000e-05	2.132700e-01	7.125744e-12	1.858089e-08
8	STAG2	stromal antigen 2	3939	11	0	0	1	4	4	3	12	12	12	5.629076e-11	1	7.100000e-01	1.384780e-09	3.159549e-06
9	SLC26A3	solute carrier family 26, member 3	2375	51	0	0	6	1	0	0	7	7	6	4.482160e-08	2.160000e-01	4.100000e-02	2.789562e-08	5.657542e-05
10	SEMG1	semenogelin I	1399	142	0	0	7	1	0	0	8	8	7	3.218003e-09	7.470000e-01	6.130000e-01	6.614445e-08	1.207335e-04
11	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	4187	23	0	0	6	2	0	0	8	8	8	7.688305e-08	1	2.410000e-01	4.731411e-07	7.246585e-04
12	RPL5	ribosomal protein L5	926	298	0	0	2	1	2	2	7	7	7	7.143785e-08	1	1.130000e-01	4.764095e-07	7.246585e-04
13	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	7615	3	0	2	5	3	0	8	16	16	16	1.634345e-07	1	1.450000e-01	7.220816e-07	1.013858e-03
14	MAP3K1	mitogen-activated protein kinase kinase kinase 1	4615	55	0	2	6	0	0	0	6	6	4	7.527522e-04	7.000000e-05	9.797000e-02	9.357577e-07	1.220028e-03
15	BRAF	v-raf murine sarcoma viral oncogene homolog B1	2371	49	0	1	6	0	0	0	6	6	2	1.045792e-02	1.000000e-05	8.345000e-02	1.785514e-06	2.172733e-03
