rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1890	4	0	5	244	66	46	79	435	359	215	7.758605e-16	1.000000e-05	1.000000e-05	1.000000e-16	5.075940e-13
2	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1002	17	0	1	21	60	13	23	117	112	54	1.639875e-15	1.200000e-04	1.000000e-05	1.000000e-16	5.075940e-13
3	CASP8	caspase 8, apoptosis-related cysteine peptidase	1749	50	0	1	28	16	10	9	63	55	50	1.000000e-16	1.529000e-02	1.000000e-05	1.000000e-16	5.075940e-13
4	NSD1	nuclear receptor binding SET domain protein 1	8179	7	0	2	29	27	1	22	79	63	78	5.380306e-16	2.249000e-01	4.000000e-04	1.110223e-16	5.075940e-13
5	HLA-B	major histocompatibility complex, class I, B	1119	25	0	1	11	6	3	6	26	24	21	1.000000e-16	2.180000e-01	8.800000e-02	4.440892e-16	1.624301e-12
6	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	16826	1	0	6	31	29	7	22	89	78	86	2.022379e-16	3.270000e-01	4.000000e-02	5.551115e-16	1.691980e-12
7	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	1807	24	0	2	16	6	2	1	25	23	16	2.809221e-12	1.000000e-05	4.354000e-01	1.110223e-15	2.900537e-12
8	FAT1	FAT tumor suppressor homolog 1 (Drosophila)	13871	9	0	11	32	67	4	40	143	114	132	2.568175e-15	8.380000e-01	3.300000e-02	1.043610e-14	2.385692e-11
9	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	7800	9	0	9	52	18	5	21	96	87	93	1.527988e-15	4.750000e-01	4.030000e-01	3.763656e-14	7.647749e-11
10	JUB	jub, ajuba homolog (Xenopus laevis)	1645	65	0	1	6	9	3	18	36	33	34	2.719621e-15	6.290000e-01	9.460000e-01	7.560619e-14	1.382686e-10
11	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	1834	44	0	2	26	0	0	1	27	26	18	6.346848e-10	1.000000e-05	1.000000e-05	2.138290e-13	3.555004e-10
12	FBXW7	F-box and WD repeat domain containing 7	2580	8	0	4	22	4	1	8	35	33	26	1.256177e-12	3.600000e-03	3.232000e-01	3.258505e-13	4.965961e-10
13	ZNF750	zinc finger protein 750	2176	1	0	1	8	6	0	8	22	19	21	1.639580e-11	1.055000e-01	9.900000e-03	2.749578e-12	3.868022e-09
14	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	660	132	0	0	15	0	0	0	15	14	8	1.561382e-07	1.000000e-05	1.775200e-01	4.400824e-11	5.748734e-08
15	EPHA2	EPH receptor A2	2995	19	0	2	9	7	4	9	29	24	26	5.068181e-12	3.790000e-01	4.910000e-01	5.947309e-11	7.250960e-08
16	HLA-A	major histocompatibility complex, class I, A	1128	1	0	4	9	7	4	4	24	22	21	3.677903e-11	1.440000e-01	4.970000e-01	1.675531e-10	1.915132e-07
17	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	659	2	0	0	31	1	0	0	32	29	9	2.232372e-06	1.000000e-05	4.200000e-04	5.698213e-10	6.129936e-07
18	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	5	0	1	93	0	1	2	96	94	35	5.910577e-05	1.000000e-05	6.000000e-05	1.315051e-08	1.336091e-05
19	EP300	E1A binding protein p300	7365	0	0	1	29	6	3	1	39	39	32	9.692595e-05	2.000000e-05	7.676000e-02	2.108574e-08	2.029558e-05
20	RB1	retinoblastoma 1 (including osteosarcoma)	3716	13	0	2	5	5	4	4	18	18	18	6.626200e-09	1	6.900000e-02	2.474554e-08	2.262732e-05
21	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	24	0	0	6	5	1	2	14	14	14	5.406465e-08	5.570000e-01	2.700000e-02	3.554277e-08	3.095268e-05
22	RASA1	RAS p21 protein activator (GTPase activating protein) 1	3250	3	0	0	6	5	4	3	18	17	16	1.953638e-07	1.010000e-01	8.100000e-02	1.020873e-07	8.486236e-05
23	MAPK1	mitogen-activated protein kinase 1	1115	27	0	0	8	1	0	0	9	9	2	4.618969e-05	2.340000e-03	2.468000e-02	1.457606e-07	1.158987e-04
24	NAP1L2	nucleosome assembly protein 1-like 2	1383	0	0	0	2	0	0	5	7	7	3	1.408228e-04	3.000000e-05	4.473500e-01	1.915827e-07	1.459860e-04
25	KEAP1	kelch-like ECH-associated protein 1	1895	24	0	3	22	1	0	1	24	22	23	1.647690e-07	3.140000e-01	4.440000e-01	7.304541e-07	5.343418e-04
26	KDM6A	lysine (K)-specific demethylase 6A	4318	5	0	2	6	5	4	2	17	17	16	9.616404e-08	4.130000e-01	6.850000e-01	8.242099e-07	5.797366e-04
27	RHOA	ras homolog gene family, member A	918	13	0	1	9	1	0	0	10	10	7	2.748915e-05	4.200000e-02	1.300000e-01	7.678925e-06	5.201192e-03
28	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	7449	26	0	8	29	6	1	4	40	35	39	3.229500e-05	1.240000e-02	5.919000e-01	9.066775e-06	5.921899e-03
29	NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11	500	7	0	1	1	0	0	7	8	8	2	7.406378e-03	1.000000e-05	9.961100e-01	1.327232e-05	8.369798e-03
30	EMG1	EMG1 nucleolar protein homolog (S. cerevisiae)	1360	27	0	0	0	0	0	4	4	4	1	2.672183e-03	2.142857e-04	5.603429e-01	2.095197e-05	1.277232e-02
31	SMAD4	SMAD family member 4	1699	44	0	1	9	5	0	0	14	13	14	3.985232e-06	1	8.170000e-01	5.353329e-05	3.158118e-02
32	CUL3	cullin 3	2367	23	0	1	9	3	2	0	14	14	14	3.407485e-05	2.290000e-01	4.240000e-01	7.687847e-05	4.393604e-02
33	TIGD4	tigger transposable element derived 4	1539	2	0	0	5	1	0	1	7	7	6	4.220538e-03	3.870000e-02	5.900000e-03	8.211110e-05	4.550448e-02
34	MYH9	myosin, heavy chain 9, non-muscle	6043	1	0	9	19	0	1	4	24	22	21	6.737902e-01	2.440000e-03	5.890000e-03	8.697123e-05	4.678029e-02
35	C3orf59	chromosome 3 open reading frame 59	1480	59	0	1	10	1	0	0	11	11	7	2.165605e-02	3.400000e-04	7.070200e-01	9.438728e-05	4.931870e-02
36	HUWE1	HECT, UBA and WWE domain containing 1	13449	7	0	5	38	2	2	6	48	45	44	3.172031e-02	2.780000e-03	1.166000e-02	1.268608e-04	6.444530e-02
37	SLC9A6	solute carrier family 9 (sodium/hydrogen exchanger), member 6	2174	0	0	0	3	0	1	1	5	5	4	1.682158e-02	1.455000e-02	3.255000e-02	1.831598e-04	9.053047e-02
38	ZNF623	zinc finger protein 623	1613	47	0	2	10	1	0	1	12	11	9	2.718448e-03	3.800000e-03	8.513000e-01	1.991091e-04	9.582390e-02
39	MLL4	myeloid/lymphoid or mixed-lineage leukemia 2	8292	19	0	5	7	3	4	10	24	20	24	1.959234e-05	1	9.290000e-01	2.319806e-04	1.087810e-01
40	CTCF	CCCTC-binding factor (zinc finger protein)	2224	88	0	2	12	3	0	3	18	16	18	3.548824e-05	1	3.350000e-01	2.449937e-04	1.120111e-01
41	NCOR1	nuclear receptor co-repressor 1	7666	0	0	1	18	2	1	0	21	18	17	7.662169e-01	1.000000e-05	8.086000e-01	2.684963e-04	1.197624e-01
42	PTPN14	protein tyrosine phosphatase, non-receptor type 14	3632	6	0	2	9	5	1	1	16	15	16	2.455890e-05	1	9.560000e-01	2.852378e-04	1.218120e-01
43	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	2693	3	1	1	11	3	0	2	16	13	15	9.674360e-03	1.000000e-03	9.570000e-01	2.864127e-04	1.218120e-01
44	IRS4	insulin receptor substrate 4	3778	1	0	3	13	2	0	4	19	17	17	3.457222e-02	8.000000e-04	8.490000e-02	2.997449e-04	1.245849e-01
45	SRPX	sushi-repeat-containing protein, X-linked	1431	52	0	1	4	0	0	3	7	7	5	9.658113e-03	3.200000e-03	8.244000e-01	4.409950e-04	1.792204e-01
46	KIAA1949	KIAA1949	2282	3	0	0	3	0	0	3	6	6	5	5.780855e-03	3.090000e-02	1.485000e-01	4.614597e-04	1.834603e-01
47	NOTCH2	Notch homolog 2 (Drosophila)	7548	0	0	4	11	4	0	6	21	20	21	9.573827e-05	1	3.360000e-01	4.857754e-04	1.890183e-01
48	GAGE2A	G antigen 2A	1486	80	0	0	2	0	0	3	5	5	3	3.051343e-02	1.050000e-03	8.928000e-01	5.183191e-04	1.974796e-01
49	LCP1	lymphocyte cytosolic protein 1 (L-plastin)	1944	6	0	0	14	0	2	0	16	15	16	7.959370e-05	1	4.690000e-01	5.481764e-04	2.045928e-01
50	OFD1	oral-facial-digital syndrome 1	3127	4	0	0	3	1	2	1	7	7	7	2.000031e-04	1	1.910000e-01	5.944580e-04	2.174290e-01
51	TP63	tumor protein p63	2258	3	1	4	7	0	4	1	12	12	10	5.332572e-02	4.950000e-03	9.590000e-02	6.561319e-04	2.352812e-01
52	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	2361	0	0	0	5	2	0	3	10	9	10	4.439917e-03	6.300000e-02	2.400000e-02	7.070673e-04	2.470277e-01
53	APAF1	apoptotic peptidase activating factor 1	4001	12	0	1	9	1	0	2	12	12	12	2.637436e-04	1	1.850000e-01	7.159048e-04	2.470277e-01
54	CBWD1	COBW domain containing 1	1296	40	0	0	1	0	4	0	5	5	2	7.976364e-02	6.700000e-03	6.280000e-02	8.324486e-04	2.819226e-01
55	THSD7A	thrombospondin, type I, domain containing 7A	5078	12	0	11	30	3	4	0	37	33	34	8.535782e-01	8.530000e-03	4.200000e-04	9.646017e-04	3.207388e-01
56	ASXL1	additional sex combs like 1 (Drosophila)	4678	22	0	4	7	4	0	6	17	16	16	8.803837e-04	2.100000e-01	2.100000e-01	9.918993e-04	3.239260e-01
57	ELF4	E74-like factor 4 (ets domain transcription factor)	2020	7	0	0	6	0	0	0	6	6	5	1.918178e-02	1.046000e-01	7.000000e-03	1.018687e-03	3.260144e-01
58	VPS33B	vacuolar protein sorting 33 homolog B (yeast)	1942	9	0	0	3	3	0	1	7	7	7	1.014031e-04	1	9.650000e-01	1.033948e-03	3.260144e-01
59	KIAA1267	KIAA1267	3372	11	0	1	4	3	3	2	12	12	12	4.183515e-04	1	1.060000e-01	1.078511e-03	3.343017e-01
60	PIWIL2	piwi-like 2 (Drosophila)	3010	5	0	2	7	1	0	1	9	7	9	4.191279e-02	3.560000e-02	2.770000e-02	1.103290e-03	3.362827e-01
61	DYSF	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)	6716	4	0	6	14	5	3	0	22	21	22	5.905538e-04	4.340000e-01	1.740000e-01	1.143468e-03	3.428155e-01
62	PDE3B	phosphodiesterase 3B, cGMP-inhibited	3399	1	0	0	2	1	1	0	4	3	4	1.034172e-01	1.235000e-02	5.505000e-02	1.240314e-03	3.658526e-01
63	HNRNPL	heterogeneous nuclear ribonucleoprotein L	1820	42	0	2	5	0	2	3	10	10	10	1.324619e-04	1	8.880000e-01	1.315242e-03	3.781641e-01
64	GNL2	guanine nucleotide binding protein-like 2 (nucleolar)	2258	1	0	0	2	2	1	1	6	6	6	5.443951e-04	1	2.210000e-01	1.323409e-03	3.781641e-01
65	CYLD	cylindromatosis (turban tumor syndrome)	2935	0	0	0	6	4	0	4	14	14	14	3.685323e-04	1	2.910000e-01	1.418631e-03	3.991372e-01
66	NOTCH3	Notch homolog 3 (Drosophila)	7096	16	0	7	16	3	0	4	23	23	23	2.475592e-04	1	4.360000e-01	1.663364e-03	4.609030e-01
67	ZMIZ1	zinc finger, MIZ-type containing 1	3288	1	0	7	5	1	1	3	10	10	8	9.494223e-02	1.600000e-03	6.897000e-01	1.735424e-03	4.736931e-01
68	ZFP36L2	zinc finger protein 36, C3H type-like 2	1489	13	0	2	2	0	0	6	8	8	8	4.620519e-04	1	3.070000e-01	1.833012e-03	4.929725e-01
69	GPATCH8	G patch domain containing 8	4539	8	0	3	7	3	2	0	12	12	12	2.181672e-04	1	7.920000e-01	2.057371e-03	5.435637e-01
70	ZNF701	zinc finger protein 701	1612	49	0	1	7	0	0	0	7	5	7	9.205045e-01	4.900000e-04	1.255300e-01	2.080570e-03	5.435637e-01
71	TEK	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	3463	3	0	1	4	0	1	1	6	6	6	4.078907e-01	1	2.000000e-04	2.194774e-03	5.653244e-01
72	YTHDF1	YTH domain family, member 1	1696	15	0	1	3	0	1	2	6	6	5	3.154703e-03	7.000000e-02	7.200000e-01	2.238347e-03	5.685402e-01
73	MUC6	mucin 6, oligomeric mucus/gel-forming	7450	17	0	5	14	2	0	1	17	16	15	6.073462e-02	9.400000e-03	1.087000e-01	2.415819e-03	6.052124e-01
74	TMCC1	transmembrane and coiled-coil domain family 1	1974	4	0	0	8	0	0	0	8	7	7	6.434002e-02	3.300000e-03	1.113000e-01	2.648405e-03	6.545138e-01
75	GJA10	gap junction protein, alpha 10, 62kDa	1630	2	0	0	5	2	0	0	7	7	7	7.778273e-04	1	2.800000e-01	2.779589e-03	6.777751e-01
