rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	941	2	0	1	88	1	1	0	90	87	10	1.656989e-14	1.000000e-05	1.000000e-05	1.000000e-16	6.087000e-13
2	TP53	tumor protein p53	1890	12	0	2	33	10	6	5	54	48	43	7.921640e-16	6.000000e-04	1.000000e-05	1.000000e-16	6.087000e-13
3	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1002	0	0	6	15	15	6	6	42	41	21	1.000000e-16	9.000000e-05	1.000000e-05	1.000000e-16	6.087000e-13
4	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	12120	2	0	9	19	22	8	4	53	38	48	2.316194e-11	1.800000e-03	9.468000e-01	2.733924e-12	1.248105e-08
5	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	6	0	0	10	6	2	7	25	25	23	5.337663e-12	3.510000e-01	4.790000e-01	6.852097e-11	2.502523e-07
6	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	660	23	0	1	20	0	0	0	20	20	9	2.332442e-09	1.500000e-03	8.484000e-01	1.506308e-10	4.584450e-07
7	ARID2	AT rich interactive domain 2 (ARID, RFX-like)	5588	3	0	7	21	22	3	5	51	37	40	8.265000e-08	6.000000e-05	2.041300e-01	1.980452e-10	5.166435e-07
8	C15orf23	chromosome 15 open reading frame 23	1024	3	0	4	21	0	0	0	21	19	8	1.094293e-05	1.000000e-05	9.997400e-01	2.619272e-09	5.978817e-06
9	NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11	500	1	0	0	0	0	0	8	8	8	1	1.237859e-04	1.000000e-05	9.974800e-01	2.662621e-08	5.402458e-05
10	ZFX	zinc finger protein, X-linked	2505	0	0	1	8	5	0	3	16	15	15	1.524766e-06	2.210000e-01	2.000000e-02	4.787148e-07	8.741811e-04
11	SLC38A4	solute carrier family 38, member 4	1700	8	0	4	35	0	2	0	37	33	31	6.488139e-07	4.200000e-02	9.030000e-01	7.693444e-07	1.277182e-03
12	FAM58A	family with sequence similarity 58, member A	762	3	0	0	1	1	2	2	6	6	5	3.469573e-06	1.400000e-01	4.700000e-02	1.721762e-06	2.558563e-03
13	PPP6C	protein phosphatase 6, catalytic subunit	1057	8	1	2	16	2	2	1	21	20	15	3.747923e-06	1.580000e-02	7.894000e-01	1.821440e-06	2.558563e-03
14	C7orf58	chromosome 7 open reading frame 58	3209	1	0	10	38	2	6	0	46	37	38	1.742630e-02	5.100000e-04	8.080000e-03	2.886266e-06	3.764722e-03
15	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	4601	13	0	14	71	6	11	0	88	59	80	9.863210e-06	2.100000e-02	9.970000e-01	6.066513e-06	7.052619e-03
