rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	BRAF	v-raf murine sarcoma viral oncogene homolog B1	2371	59	0	1	236	0	0	4	240	240	6	9.562499e-15	1.000000e-05	1.000000e-05	1.000000e-16	6.084333e-13
2	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	590	34	0	0	34	0	0	0	34	34	2	1.253692e-16	1.000000e-05	6.880000e-03	1.000000e-16	6.084333e-13
3	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	659	104	0	0	14	0	0	0	14	14	2	3.387827e-16	1.000000e-05	3.680000e-03	1.000000e-16	6.084333e-13
4	EIF1AX	eukaryotic translation initiation factor 1A, X-linked	459	175	0	0	4	0	2	0	6	6	5	7.955576e-09	3.000000e-04	2.085000e-01	6.270462e-11	2.748982e-07
5	NUP93	nucleoporin 93kDa	2544	111	0	0	1	3	0	0	4	4	2	6.813856e-09	4.000000e-04	2.317750e-01	7.530221e-11	2.748982e-07
6	PPM1D	protein phosphatase 1D magnesium-dependent, delta isoform	1838	267	0	0	1	0	0	4	5	5	5	3.793231e-09	1	8.900000e-01	7.734417e-08	2.352938e-04
7	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	122	0	0	4	0	0	0	4	4	3	7.336794e-05	3.500000e-02	1.400000e-01	1.820314e-05	4.746600e-02
8	MSLNL	mesothelin-like	3222	67	0	0	1	0	1	0	2	2	2	1.184148e-04	1	1.900000e-02	3.913663e-05	8.929511e-02
9	DLC1	deleted in liver cancer 1	4732	152	0	1	4	0	0	0	4	4	3	2.214267e-02	4.530000e-03	9.500000e-03	4.800739e-05	9.736432e-02
10	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	3633	37	0	0	3	0	0	1	4	4	4	5.125244e-05	1	8.400000e-02	6.755754e-05	1.233128e-01
11	TG	thyroglobulin	8498	137	0	4	6	0	0	5	11	11	11	7.683597e-06	1	5.870000e-01	9.816889e-05	1.628979e-01
12	NLRP6	NLR family, pyrin domain containing 6	2706	132	0	0	3	0	0	0	3	3	1	2.524708e-02	1.000000e-03	1.000000e-03	2.925329e-04	4.449669e-01
13	HEATR1	HEAT repeat containing 1	6611	12	0	0	1	1	1	0	3	3	3	1.308503e-04	1	1.240000e-01	3.705599e-04	4.846098e-01
14	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	5510	57	0	0	3	1	0	0	4	4	4	3.282244e-05	1	9.400000e-01	3.716943e-04	4.846098e-01
15	GBF1	golgi-specific brefeldin A resistance factor 1	5736	19	0	0	1	0	2	1	4	4	4	4.699434e-05	1	7.610000e-01	5.153157e-04	6.215522e-01
16	OR56A1	olfactory receptor, family 56, subfamily A, member 1	961	75	0	0	2	0	0	0	2	2	2	5.066044e-03	1	1.000000e-02	5.517107e-04	6.215522e-01
17	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	2274	376	0	0	2	1	0	0	3	3	3	5.788850e-04	NaN	NaN	5.788850e-04	6.215522e-01
18	DHX8	DEAH (Asp-Glu-Ala-His) box polypeptide 8	3753	131	0	1	2	0	1	0	3	3	3	6.355110e-05	1	7.160000e-01	6.776877e-04	6.872130e-01
19	MAS1L	MAS1 oncogene-like	1135	22	0	0	2	0	0	0	2	2	1	6.878647e-03	1.000000e-02	4.744000e-01	7.280706e-04	6.994460e-01
