rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1890	0	0	7	157	41	7	23	228	196	120	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	5.077883e-13
2	RB1	retinoblastoma 1 (including osteosarcoma)	3719	10	0	1	8	36	15	20	79	70	70	1.000000e-16	6.066667e-01	6.333333e-04	1.000000e-16	5.077883e-13
3	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	1148	9	0	0	35	3	1	21	60	46	50	1.000000e-16	1.390000e-01	3.600000e-02	1.110223e-16	5.077883e-13
4	TSC1	tuberous sclerosis 1	3579	3	0	4	10	13	5	6	34	33	30	1.000000e-16	2.100000e-02	2.020000e-01	1.110223e-16	5.077883e-13
5	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	24	0	4	93	0	1	0	94	86	35	5.607042e-13	1.000000e-05	1.000000e-05	2.220446e-16	6.770510e-13
6	RHOB	ras homolog gene family, member B	591	99	0	0	30	0	0	0	30	26	18	7.980961e-15	5.400000e-04	1.079800e-01	2.220446e-16	6.770510e-13
7	KDM6A	lysine (K)-specific demethylase 6A	4318	2	0	6	22	37	11	43	113	103	97	1.690806e-16	7.100000e-02	1.030000e-01	3.330669e-16	8.704942e-13
8	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1002	6	0	0	17	4	2	7	30	26	22	2.842166e-12	2.508000e-02	1.000000e-05	1.110223e-15	2.538941e-12
9	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	36	0	8	41	48	6	30	125	97	110	1.000000e-16	3.730000e-01	4.570000e-01	1.887379e-15	3.836622e-12
10	STAG2	stromal antigen 2	3939	5	0	8	17	25	3	16	61	56	54	1.000000e-16	4.690000e-01	7.820000e-01	2.553513e-15	4.671652e-12
11	ZFP36L1	zinc finger protein 36, C3H type-like 1	1197	14	0	1	8	4	0	20	32	25	31	5.372740e-16	5.200000e-01	8.780000e-01	1.443290e-14	2.352752e-11
12	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	503	89	0	1	8	6	0	29	43	35	33	2.295004e-15	1.020000e-01	7.460000e-01	1.543210e-14	2.352752e-11
13	EP300	E1A binding protein p300	7365	24	0	7	48	21	1	8	78	61	74	3.323223e-15	3.550000e-01	1.990000e-01	2.686740e-14	3.781069e-11
14	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	16826	1	0	14	56	57	12	30	155	114	149	1.597241e-15	1	5.260000e-01	5.606626e-14	7.326659e-11
15	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	2642	8	1	5	61	1	0	2	64	56	18	3.470626e-10	1.000000e-05	7.500000e-03	1.190159e-13	1.451597e-10
16	ERCC2	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)	2430	43	1	3	38	0	0	0	38	38	22	2.971712e-09	1.000000e-05	1.683000e-02	9.553469e-13	1.092379e-09
17	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	7449	11	0	8	26	17	3	5	51	48	48	5.046881e-12	3.500000e-02	7.120000e-01	1.120504e-11	1.205860e-08
18	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	659	25	0	1	15	1	0	0	16	16	10	1.581019e-06	1.000000e-05	1.391200e-01	4.090155e-10	4.157188e-07
19	FOXA1	forkhead box A1	1423	7	0	2	5	0	0	9	14	14	13	9.607719e-11	4.210000e-01	7.260000e-01	1.266892e-09	1.219883e-06
20	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	127	1	0	13	0	0	0	13	13	5	7.082821e-06	2.000000e-05	2.448600e-01	1.726138e-09	1.578984e-06
21	RHOA	ras homolog gene family, member A	918	94	0	1	19	0	0	0	19	18	15	1.863479e-08	6.600000e-02	1.390000e-01	3.027258e-08	2.637318e-05
22	KIAA1267	KIAA1267	3372	0	0	1	12	5	4	4	25	24	24	4.250387e-09	5.290000e-01	6.050000e-01	5.745967e-08	4.778294e-05
