rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	FAM18B2	family with sequence similarity 18, member B2	1003	101	0	0	35	0	1	0	36	35	2	1.000000e-16	1.000000e-05	8.253700e-01	1.000000e-16	6.760518e-13
2	TP53	tumor protein p53	1889	126	0	1	27	8	8	2	45	35	38	6.398201e-16	5.496000e-02	6.000000e-05	1.000000e-16	6.760518e-13
3	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	1	0	1	9	6	2	14	31	26	31	1.000000e-16	6.400000e-03	9.018000e-01	1.110223e-16	6.760518e-13
4	KDM5C	lysine (K)-specific demethylase 5C	4879	10	0	2	12	7	1	9	29	29	29	1.000000e-16	4.680000e-01	6.260000e-01	2.220446e-15	1.014078e-11
5	SETD2	SET domain containing 2	7777	24	0	3	17	19	7	18	61	57	59	3.527149e-16	4.930000e-01	6.300000e-02	5.218048e-15	1.906466e-11
6	PBRM1	polybromo 1	5418	110	0	3	28	45	15	53	141	138	130	1.653500e-15	7.910000e-01	2.400000e-02	1.310063e-14	3.988706e-11
7	NEFH	neurofilament, heavy polypeptide 200kDa	3077	36	0	2	10	0	0	10	20	16	11	1.852936e-10	1.000000e-05	8.302800e-01	6.472600e-14	1.689164e-10
8	VHL	von Hippel-Lindau tumor suppressor	650	0	0	2	104	38	19	72	233	225	139	3.573690e-15	9.810000e-01	9.920000e-01	1.224576e-13	2.796319e-10
9	MET	met proto-oncogene (hepatocyte growth factor receptor)	4307	101	0	3	19	0	0	1	20	19	17	1.698833e-06	2.500000e-04	6.230000e-03	4.382733e-10	8.895974e-07
10	HNRNPM	heterogeneous nuclear ribonucleoprotein M	2255	13	0	0	3	0	9	0	12	12	4	2.081862e-06	1.000000e-05	3.602000e-02	5.328561e-10	9.734215e-07
11	NF2	neurofibromin 2 (merlin)	1894	12	0	1	2	3	6	5	16	16	15	6.714182e-10	4.230000e-01	6.320000e-01	8.200163e-09	1.361824e-05
12	TDG	thymine-DNA glycosylase	1269	4	0	2	1	0	4	0	5	5	3	8.423574e-07	3.500000e-03	2.308000e-01	6.085796e-08	9.264610e-05
13	MUC5B	mucin 5B, oligomeric mucus/gel-forming	17492	16	0	7	25	0	1	7	33	32	27	3.535791e-04	1.000000e-05	4.789300e-01	7.234344e-08	1.016592e-04
14	ZNF814	zinc finger protein 814	2576	5	0	2	17	0	0	4	21	13	10	4.201337e-03	1.000000e-05	9.408300e-01	7.556221e-07	9.859789e-04
15	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2	1653	26	0	1	7	1	0	1	9	8	5	6.006589e-04	1.400000e-04	9.762600e-01	1.745829e-06	2.126187e-03
16	GPR50	G protein-coupled receptor 50	1860	3	0	0	2	0	0	3	5	5	4	1.831168e-02	4.000000e-05	2.514900e-01	3.023834e-06	3.452463e-03
