rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	5	0	0	6	6	3	2	17	15	15	5.889531e-16	3.460000e-01	7.920000e-01	9.658940e-15	1.766234e-10
2	HLA-B	major histocompatibility complex, class I, B	1119	47	0	0	3	5	3	1	12	11	9	2.074178e-15	1.750000e-01	3.430000e-01	2.164935e-14	1.979400e-10
3	HLA-A	major histocompatibility complex, class I, A	1128	60	0	1	4	7	3	3	17	16	14	1.748440e-14	1.790000e-01	6.560000e-01	2.338130e-13	1.425168e-09
4	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	383	0	0	11	0	0	0	11	11	5	6.444502e-09	1.000000e-05	3.339000e-02	2.021827e-12	9.242783e-09
5	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	16826	3	0	8	16	14	3	2	35	22	35	1.742594e-10	1	3.500000e-03	1.396718e-10	5.108078e-07
6	FBXW7	F-box and WD repeat domain containing 7	2580	4	0	1	15	5	0	0	20	19	14	1.606483e-07	9.000000e-05	5.061000e-02	3.351449e-10	1.021410e-06
7	EP300	E1A binding protein p300	7365	10	0	1	12	11	3	0	26	21	22	4.258130e-09	3.900000e-02	4.040000e-01	5.427485e-09	1.417814e-05
8	MAPK1	mitogen-activated protein kinase 1	1115	192	0	0	9	0	0	0	9	9	3	8.338922e-06	9.000000e-05	5.140000e-03	7.612170e-09	1.739952e-05
9	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	14968	2	0	1	11	23	1	2	37	29	35	1.086306e-09	2.760000e-01	9.230000e-01	9.848255e-09	2.000272e-05
10	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	15	0	1	5	9	0	3	17	14	17	4.874288e-10	1	3.490000e-01	1.093882e-08	2.000272e-05
11	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	1834	294	0	1	14	1	0	1	16	12	14	5.194527e-06	9.780000e-02	3.640000e-02	2.189076e-06	3.639040e-03
12	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	2	0	0	57	0	1	0	58	53	19	5.139183e-02	1.000000e-05	5.000000e-05	7.956072e-06	1.212373e-02
13	CASP8	caspase 8, apoptosis-related cysteine peptidase	1749	100	0	1	3	4	2	0	9	9	8	3.472277e-06	4.110000e-01	1.870000e-01	2.504022e-05	3.522196e-02
14	FAT2	FAT tumor suppressor homolog 2 (Drosophila)	13140	0	0	2	10	5	0	0	15	11	13	5.469737e-04	3.100000e-03	9.648000e-01	3.986407e-05	5.206816e-02
15	ZNF750	zinc finger protein 750	2176	15	0	2	4	2	0	4	10	9	10	8.685485e-06	1	4.400000e-01	6.117213e-05	7.457290e-02
16	C12orf43	chromosome 12 open reading frame 43	811	71	0	0	4	0	0	0	4	4	2	1.108820e-02	6.333333e-04	4.613333e-02	1.163517e-04	1.329755e-01
17	C3orf70	chromosome 3 open reading frame 70	757	24	0	1	3	1	0	0	4	4	1	2.165049e-02	4.750000e-04	9.811000e-01	1.407724e-04	1.514214e-01
