rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	1277	89	0	0	412	0	0	0	412	412	2	1.072831e-14	1.000000e-05	1	1.000000e-16	1.842264e-13
2	TP53	tumor protein p53	1314	9	0	2	325	23	20	48	416	328	166	1.051160e-15	1.000000e-05	1.000000e-05	1.000000e-16	1.842264e-13
3	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	7615	9	0	9	37	50	20	128	235	211	200	1.417848e-15	1.000000e-05	2.092000e-01	1.000000e-16	1.842264e-13
4	CIC	capicua homolog (Drosophila)	4905	6	0	1	66	9	3	49	127	109	90	9.174762e-16	1.000000e-05	5.436000e-01	1.000000e-16	1.842264e-13
5	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	8807	1	0	3	15	23	13	35	86	62	79	1.000000e-16	4.200000e-03	9.739000e-01	1.000000e-16	1.842264e-13
6	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	2361	7	0	2	21	2	3	31	57	54	41	1.321608e-15	1.000000e-05	2.149300e-01	1.000000e-16	1.842264e-13
7	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	7800	12	0	3	25	2	4	24	55	42	43	1.000000e-16	1.000000e-05	1.852100e-01	1.000000e-16	1.842264e-13
8	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	1401	76	0	0	20	0	0	0	20	20	3	5.690064e-16	1.000000e-05	9.999500e-01	1.000000e-16	1.842264e-13
9	FUBP1	far upstream element (FUSE) binding protein 1	2013	151	0	1	1	11	9	29	50	47	45	1.000000e-16	1.660000e-02	9.807000e-01	1.110223e-16	1.842264e-13
10	RB1	retinoblastoma 1 (including osteosarcoma)	2891	38	0	1	1	9	10	11	31	30	27	3.210142e-16	9.240000e-02	1.920000e-02	1.110223e-16	1.842264e-13
11	TCF12	transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)	2278	9	0	0	1	0	2	18	21	19	19	1.000000e-16	4.600000e-02	1.270000e-01	1.110223e-16	1.842264e-13
12	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	2	0	0	61	2	5	12	80	72	47	6.529206e-13	1.000000e-05	1.752000e-02	2.220446e-16	3.377483e-13
13	STK19	serine/threonine kinase 19	1186	55	0	0	3	0	0	9	12	11	4	5.926174e-12	1.000000e-05	6.029400e-01	2.220446e-15	3.117677e-12
14	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	58	0	0	61	18	9	25	113	110	88	3.790554e-15	8.200000e-03	7.444000e-01	3.108624e-15	4.052980e-12
15	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	58	0	4	10	7	1	10	28	22	28	2.633133e-11	1	9.170000e-01	6.677695e-10	8.125865e-07
