rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1890	3	0	0	87	18	10	34	149	138	90	2.313894e-15	1.000000e-05	1.000000e-05	1.000000e-16	3.044667e-13
2	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	11	0	4	18	20	5	76	119	90	83	3.210958e-16	1.000000e-05	2.570000e-03	1.000000e-16	3.044667e-13
3	RNF43	ring finger protein 43	2384	4	0	2	6	4	0	53	63	49	19	2.177605e-16	1.000000e-05	1.824600e-01	1.000000e-16	3.044667e-13
4	MLL4	myeloid/lymphoid or mixed-lineage leukemia 2	8293	0	0	10	16	2	2	31	51	38	32	1.229628e-14	1.000000e-05	1	1.000000e-16	3.044667e-13
5	XYLT2	xylosyltransferase II	2638	28	0	3	8	0	0	27	35	32	10	5.172338e-14	1.000000e-05	9.755400e-01	1.000000e-16	3.044667e-13
6	LARP4B	La ribonucleoprotein domain family, member 4B	2283	1	0	2	5	1	1	22	29	27	8	1.000000e-16	1.000000e-05	7.832000e-01	1.000000e-16	3.044667e-13
7	BZRAP1	benzodiazapine receptor (peripheral) associated protein 1	5698	3	0	5	13	1	0	33	47	46	17	4.357930e-13	1.000000e-05	9.999300e-01	2.220446e-16	5.794730e-13
8	B2M	beta-2-microglobulin	374	23	0	1	3	1	2	22	28	17	17	9.061978e-15	1.500000e-03	6.988500e-01	1.665335e-15	3.802791e-12
9	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	4	0	0	28	0	0	0	28	28	6	2.121242e-11	1.000000e-05	1.947700e-01	7.882583e-15	1.599989e-11
10	HLA-B	major histocompatibility complex, class I, B	1119	13	0	0	8	3	3	8	22	20	18	6.170893e-11	5.205000e-02	1.000000e-05	2.220446e-14	4.056311e-11
11	GNG12	guanine nucleotide binding protein (G protein), gamma 12	227	0	0	2	2	0	0	9	11	11	3	9.955222e-12	3.000000e-05	4.480100e-01	4.563017e-14	7.577926e-11
12	PLEKHA6	pleckstrin homology domain containing, family A member 6	3231	1	0	1	5	1	1	19	26	20	18	2.055875e-10	1.000000e-05	9.482300e-01	7.160939e-14	1.090134e-10
13	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	2709	25	0	4	21	0	6	3	30	29	27	4.632339e-10	1.930000e-03	4.000000e-05	1.575406e-13	2.213810e-10
14	RHOA	ras homolog gene family, member A	918	119	0	0	17	0	0	0	17	16	13	6.422767e-11	1.200000e-04	3.951100e-01	4.647394e-13	6.064185e-10
15	LMAN1	lectin, mannose-binding, 1	1583	29	0	2	1	2	0	16	19	19	4	1.208410e-08	1.000000e-05	3.330000e-03	3.715139e-12	4.524544e-09
16	KLF3	Kruppel-like factor 3 (basic)	1058	68	0	1	8	0	2	13	23	19	15	1.895712e-09	3.000000e-05	8.516800e-01	1.176470e-11	1.343235e-08
17	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	0	0	4	10	4	2	17	33	23	22	5.662935e-08	1.000000e-05	1	1.653555e-11	1.776891e-08
18	MTG1	mitochondrial GTPase 1 homolog (S. cerevisiae)	1111	0	0	0	1	0	0	8	9	9	3	9.050368e-08	1.000000e-05	9.997200e-01	2.600242e-11	2.638957e-08
19	FBXW7	F-box and WD repeat domain containing 7	2580	1	0	1	18	3	2	5	28	27	18	4.162593e-10	2.400000e-03	2.592000e-01	3.433476e-11	3.301197e-08
20	SMAD4	SMAD family member 4	1699	21	0	1	19	1	0	8	28	24	23	1.485635e-08	6.000000e-05	5.700800e-01	6.201717e-11	5.664648e-08
21	ZBTB20	zinc finger and BTB domain containing 20	2238	0	0	8	17	0	0	21	38	28	19	4.288524e-07	1.000000e-05	9.209700e-01	1.165410e-10	1.013796e-07
22	HLA-A	major histocompatibility complex, class I, A	1128	0	0	0	5	0	0	11	16	15	9	8.649004e-08	3.000000e-05	9.958200e-01	2.068932e-10	1.717966e-07
23	FRMD4A	FERM domain containing 4A	3216	1	0	2	4	0	0	14	18	18	6	9.015837e-07	1.000000e-05	1.360000e-03	2.383069e-10	1.892779e-07
24	CTCF	CCCTC-binding factor (zinc finger protein)	2224	4	0	2	6	0	1	12	19	18	11	2.484335e-06	1.000000e-05	4.994000e-02	6.314790e-10	4.806608e-07
25	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	16826	1	0	12	41	4	1	37	83	59	70	4.982058e-07	1.000000e-05	9.821600e-01	1.231694e-09	8.776358e-07
26	MVK	mevalonate kinase	1397	8	0	0	5	0	0	8	13	13	6	5.055448e-06	6.000000e-05	1.710000e-03	1.249098e-09	8.776358e-07
27	MBD6	methyl-CpG binding domain protein 6	3056	9	0	2	7	0	0	24	31	23	18	5.610361e-06	1.000000e-05	5.951100e-01	1.380363e-09	9.339436e-07
28	APC	adenomatous polyposis coli	8592	2	0	7	20	12	2	19	53	42	46	3.843084e-08	6.666667e-04	9.857000e-01	1.477103e-09	9.637044e-07
29	CD4	CD4 molecule	1413	3	0	3	5	0	0	10	15	15	6	6.461652e-06	1.000000e-05	1	1.580685e-09	9.957224e-07
30	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	6	0	2	68	1	2	1	72	57	34	7.013177e-06	1.000000e-05	8.795000e-02	1.709858e-09	1.041189e-06
31	JARID2	jumonji, AT rich interactive domain 2	3809	7	0	6	15	0	0	19	34	28	22	9.354781e-06	1.000000e-05	1	2.253805e-09	1.328146e-06
32	PAX6	paired box 6	1355	4	0	3	9	0	2	9	20	19	11	1.206140e-05	2.000000e-05	7.180000e-03	2.875247e-09	1.630431e-06
33	SNAPC2	small nuclear RNA activating complex, polypeptide 2, 45kDa	1023	17	0	2	4	0	0	7	11	11	7	1.236818e-05	9.900000e-04	1.470000e-03	2.945272e-09	1.630431e-06
34	KIAA0182	KIAA0182	3716	6	0	2	9	0	0	13	22	20	10	1.672050e-05	1.000000e-05	1.600000e-04	3.931292e-09	2.112260e-06
35	AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)	2975	4	0	1	5	0	0	11	16	13	9	2.750811e-05	1.000000e-05	9.952600e-01	6.330705e-09	3.304266e-06
36	ZBTB7C	zinc finger and BTB domain containing 7C	1866	1	0	6	5	0	0	12	17	15	8	4.317070e-05	1.000000e-05	1.167300e-01	9.740724e-09	4.942876e-06
37	NLK	nemo-like kinase	1624	7	0	1	4	1	0	8	13	12	5	5.053231e-05	1.000000e-05	9.986100e-01	1.132218e-08	5.590097e-06
38	WBP1	WW domain binding protein 1	1503	52	0	0	0	0	0	8	8	8	2	6.136893e-05	1.000000e-05	7.700000e-04	1.363098e-08	6.552914e-06
39	TMEM41A	transmembrane protein 41A	813	1	0	0	1	0	0	5	6	6	2	6.661848e-05	2.000000e-05	5.000000e-03	1.474231e-08	6.905447e-06
40	POLM	polymerase (DNA directed), mu	1527	14	0	2	3	0	0	8	11	10	4	7.167064e-05	1.000000e-05	5.644000e-02	1.580793e-08	7.219482e-06
41	ATP6V1B1	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1 (Renal tubular acidosis with deafness)	1896	46	0	2	8	1	0	13	22	20	10	1.565974e-05	1.000000e-05	9.997500e-01	1.720059e-08	7.663911e-06
42	MUC6	mucin 6, oligomeric mucus/gel-forming	7450	26	0	12	24	0	0	21	45	34	40	1.347639e-06	1.533333e-03	7.376667e-02	1.961297e-08	8.530710e-06
43	CIC	capicua homolog (Drosophila)	4905	17	0	8	11	2	0	16	29	26	21	1.054182e-04	1.000000e-05	9.815600e-01	2.284465e-08	9.705259e-06
44	SLC27A3	solute carrier family 27 (fatty acid transporter), member 3	2432	0	0	0	2	0	0	7	9	9	4	1.513454e-05	3.000000e-05	6.462500e-01	3.225000e-08	1.338961e-05
45	ZMYM4	zinc finger, MYM-type 4	4765	4	0	0	10	0	0	9	19	17	13	1.764570e-04	1.000000e-05	6.210200e-01	3.733011e-08	1.515437e-05
46	NT5M	5',3'-nucleotidase, mitochondrial	703	2	0	2	0	0	0	5	5	5	1	2.115417e-04	1.000000e-05	3.000000e-05	4.436879e-08	1.736320e-05
47	BCL9L	B-cell CLL/lymphoma 9-like	4528	8	0	3	14	1	0	14	29	24	23	4.842287e-06	3.200000e-04	9.326600e-01	4.467213e-08	1.736320e-05
48	CCDC153	coiled-coil domain containing 153	661	32	0	0	1	0	0	7	8	8	2	3.552501e-04	1.000000e-05	1.000000e-05	7.266858e-08	2.765645e-05
49	IRF2	interferon regulatory factor 2	1082	23	0	1	11	2	3	4	20	15	18	6.420058e-07	3.390000e-02	1.830000e-02	7.599402e-08	2.833181e-05
50	ADAM28	ADAM metallopeptidase domain 28	2472	15	0	2	4	0	0	10	14	14	8	3.947914e-04	1.000000e-05	1.801400e-01	8.034037e-08	2.935316e-05
51	BCOR	BCL6 co-repressor	5324	0	0	4	8	8	2	10	28	21	28	2.255133e-08	7.590000e-01	2.040000e-01	1.251067e-07	4.481272e-05
52	GLI1	glioma-associated oncogene homolog 1 (zinc finger protein)	3365	4	0	2	10	0	1	9	20	17	14	6.557549e-04	1.000000e-05	6.400000e-03	1.301191e-07	4.516403e-05
53	DDC	dopa decarboxylase (aromatic L-amino acid decarboxylase)	1499	2	0	0	4	0	1	7	12	9	7	6.606008e-04	2.500000e-04	2.500000e-04	1.310321e-07	4.516403e-05
54	TBX4	T-box 4	1668	2	0	3	3	0	0	8	11	11	4	9.048754e-04	1.000000e-05	2.004000e-02	1.766375e-07	5.975580e-05
55	GXYLT1	glucoside xylosyltransferase 1	1351	24	0	2	3	1	0	10	14	12	10	1.104133e-04	1.200000e-04	2.120600e-01	1.930498e-07	6.412061e-05
56	IWS1	IWS1 homolog (S. cerevisiae)	2512	0	0	1	6	0	1	8	15	12	10	1.029081e-03	1.000000e-05	8.200000e-04	1.995595e-07	6.509916e-05
57	C7orf50	chromosome 7 open reading frame 50	2545	108	0	1	3	0	0	7	10	10	4	4.768854e-05	8.000000e-05	2.178700e-01	2.207295e-07	7.074188e-05
58	GAS6	growth arrest-specific 6	2093	2	0	5	5	0	0	11	16	16	9	6.062023e-05	2.000000e-05	5.121100e-01	3.098028e-07	9.757721e-05
59	AKAP13	A kinase (PRKA) anchor protein 13	8656	1	0	4	19	0	1	12	32	28	27	2.141499e-03	5.000000e-05	9.099000e-02	3.995861e-07	1.237227e-04
60	PLAGL2	pleiomorphic adenoma gene-like 2	1648	4	0	1	4	0	0	6	10	7	5	3.120906e-04	7.000000e-05	4.369400e-01	4.620364e-07	1.406747e-04
61	C14orf43	chromosome 14 open reading frame 43	3178	20	0	5	10	0	0	12	22	20	15	3.182316e-04	2.000000e-05	9.740200e-01	4.706318e-07	1.409427e-04
62	C1QTNF5	C1q and tumor necrosis factor related protein 5	2165	2	0	0	0	0	0	5	5	5	1	3.169216e-03	1.000000e-05	9.783600e-01	5.789270e-07	1.705780e-04
63	WDR5	WD repeat domain 5	1059	18	0	2	1	0	0	6	7	7	3	3.259629e-03	1.000000e-05	9.423800e-01	5.945260e-07	1.723937e-04
64	PRSS36	protease, serine, 36	2626	7	0	3	4	0	0	7	11	11	6	3.314425e-03	1.000000e-05	9.941700e-01	6.039677e-07	1.723950e-04
65	PAFAH1B1	platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	1269	8	0	0	3	1	1	7	12	12	7	5.630391e-05	6.000000e-04	6.085333e-01	6.793242e-07	1.909215e-04
66	EPHA2	EPH receptor A2	2995	7	0	3	15	0	2	8	25	23	20	1.114690e-06	2.000000e-02	8.380000e-01	8.369479e-07	2.316570e-04
67	SLC16A6	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)	1592	7	0	1	2	0	0	5	7	7	3	4.385122e-04	2.000000e-05	9.589500e-01	9.345646e-07	2.548153e-04
68	C9orf131	chromosome 9 open reading frame 131	3262	1	0	1	4	0	0	9	13	13	6	5.606602e-03	1.000000e-05	1	9.921856e-07	2.665477e-04
69	WNT16	wingless-type MMTV integration site family, member 16	1179	5	0	1	6	0	0	9	15	13	7	5.915076e-03	1.000000e-05	1.000000e-05	1.043607e-06	2.762988e-04
70	SPTY2D1	SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)	2078	9	0	4	6	2	0	7	15	15	11	9.408773e-05	2.285714e-04	7.610714e-01	1.110420e-06	2.897878e-04
71	GPSM3	G-protein signaling modulator 3 (AGS3-like, C. elegans)	1726	62	0	0	6	0	0	7	13	12	11	1.240239e-06	3.200000e-02	9.940000e-01	1.152798e-06	2.966100e-04
72	ZNF878	zinc finger protein 878	1753	2	0	0	4	0	0	9	13	12	9	1.338654e-04	3.400000e-04	5.041400e-01	1.216808e-06	3.087311e-04
73	CCDC88A	coiled-coil domain containing 88A	5744	6	0	3	9	2	0	16	27	20	21	8.494263e-03	1.000000e-05	8.968500e-01	1.467918e-06	3.673415e-04
74	FHDC1	FH2 domain containing 1	3474	3	0	5	7	0	0	9	16	15	11	9.245556e-03	5.000000e-05	1.178000e-01	1.589915e-06	3.924943e-04
75	ARHGAP5	Rho GTPase activating protein 5	4529	18	0	6	6	1	0	12	19	17	13	9.896323e-03	1.000000e-05	9.493000e-01	1.695093e-06	4.128796e-04
76	CRYGA	crystallin, gamma A	545	2	0	3	2	0	0	8	10	10	3	1.352759e-03	1.000000e-05	6.187200e-01	1.843982e-06	4.432351e-04
77	CDC14A	CDC14 cell division cycle 14 homolog A (S. cerevisiae)	1975	5	0	1	8	0	0	10	18	15	9	1.243106e-02	1.000000e-05	9.999900e-01	2.100910e-06	4.984340e-04
78	BCORL1	BCL6 co-repressor-like 1	5410	27	0	7	10	0	0	15	25	20	16	1.323447e-02	1.000000e-05	9.922800e-01	2.228400e-06	5.120405e-04
79	PRRG3	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)	708	2	0	2	2	1	0	6	9	8	7	3.360169e-04	6.750000e-04	1.092500e-01	2.261044e-06	5.120405e-04
80	OPTN	optineurin	1790	1	0	3	4	0	0	6	10	9	6	1.346843e-02	5.000000e-05	1.176300e-01	2.265435e-06	5.120405e-04
81	RBM43	RNA binding motif protein 43	1086	10	0	0	4	0	0	6	10	9	6	1.365297e-03	1.500000e-04	1.333500e-01	2.294617e-06	5.120405e-04
82	ZC3H18	zinc finger CCCH-type containing 18	2930	24	0	3	9	1	0	9	19	18	13	3.108399e-04	3.200000e-04	9.447800e-01	2.298408e-06	5.120405e-04
83	CTSC	cathepsin C	1545	12	0	2	5	0	0	5	10	10	6	2.976504e-03	4.000000e-05	8.771100e-01	2.488431e-06	5.476947e-04
84	RHOQ	ras homolog gene family, member Q	742	25	0	0	0	0	0	5	5	5	1	1.526130e-02	1.000000e-05	9.993900e-01	2.547929e-06	5.541139e-04
85	RALGAPB	Ral GTPase activating protein, beta subunit (non-catalytic)	4601	0	0	1	15	0	0	8	23	18	17	1.577598e-02	3.000000e-05	5.396000e-02	2.628624e-06	5.649376e-04
86	CR2	complement component (3d/Epstein Barr virus) receptor 2	3355	4	0	2	12	0	0	10	22	20	15	3.495859e-04	1.666667e-04	9.996111e-01	2.712800e-06	5.762492e-04
87	MSH6	mutS homolog 6 (E. coli)	4123	3	0	1	12	0	0	9	21	19	15	5.593125e-03	2.000000e-05	8.617400e-01	3.649592e-06	7.663304e-04
88	ZFHX4	zinc finger homeobox 4	10891	8	0	23	51	3	1	17	72	53	63	2.867504e-03	1.000000e-05	7.776800e-01	3.736426e-06	7.756481e-04
