rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	2	0	5	98	51	16	89	254	161	149	1.000000e-16	1.000000e-05	8.264700e-01	1.000000e-16	3.380814e-13
2	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	2361	26	2	1	21	17	2	77	117	82	88	2.163782e-16	1.000000e-05	4.612600e-01	1.000000e-16	3.380814e-13
3	TP53	tumor protein p53	1889	15	0	2	57	7	1	9	74	69	50	7.552016e-16	1.000000e-05	1.000000e-05	1.000000e-16	3.380814e-13
4	CTCF	CCCTC-binding factor (zinc finger protein)	2224	5	0	1	19	19	2	10	50	44	39	1.000000e-16	5.300000e-03	2.965000e-01	1.000000e-16	3.380814e-13
5	FBXW7	F-box and WD repeat domain containing 7	2580	69	2	1	35	8	0	2	45	38	29	1.027486e-15	5.000000e-04	6.863333e-02	1.000000e-16	3.380814e-13
6	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	8	0	3	156	0	6	8	170	131	74	2.641964e-13	1.000000e-05	1.000000e-05	1.110223e-16	3.380814e-13
7	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	3	0	5	15	51	6	35	107	83	87	1.000000e-16	7.670000e-01	7.440000e-01	3.774758e-15	9.852658e-12
8	ARHGAP35	glucocorticoid receptor DNA binding factor 1	4520	16	0	8	25	18	0	9	52	36	43	5.142009e-16	6.200000e-01	2.570000e-01	7.993606e-15	1.825640e-11
9	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	2	1	1	52	0	0	0	52	52	11	9.349366e-11	1.000000e-05	4.170000e-03	3.330669e-14	6.761628e-11
10	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	2406	7	0	7	80	0	0	0	80	74	25	5.240419e-09	1.000000e-05	1.000000e-05	1.654898e-12	3.023665e-09
11	ZFHX3	zinc finger homeobox 3	11148	2	0	14	57	10	0	12	79	44	71	2.727489e-09	3.000000e-04	4.713800e-01	5.930478e-11	9.850525e-08
12	SPOP	speckle-type POZ protein	1161	3	0	0	19	3	0	1	23	21	18	1.324923e-07	1.175000e-03	8.712500e-02	7.924027e-10	1.206499e-06
13	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	2782	15	0	3	29	2	0	3	34	31	19	4.074527e-06	1.000000e-05	2.423700e-01	1.015522e-09	1.427277e-06
14	TCP11L2	t-complex 11 (mouse)-like 2	1596	5	0	0	11	4	3	0	18	14	18	1.228465e-10	1	2.790000e-01	1.381242e-09	1.802620e-06
15	VPS11	vacuolar protein sorting 11 homolog (S. cerevisiae)	2887	4	0	0	6	5	1	1	13	11	12	5.298748e-08	8.580000e-01	3.200000e-02	8.391796e-08	1.022177e-04
16	PPP2R1A	protein phosphatase 2 (formerly 2A), regulatory subunit A , alpha isoform	1826	22	0	2	29	0	2	0	31	28	19	7.085250e-04	1.000000e-05	1.040000e-01	1.400417e-07	1.599189e-04
17	MAX	MYC associated factor X	1967	33	1	0	8	0	1	0	9	9	5	8.039293e-04	1.100000e-04	8.550000e-03	1.578831e-07	1.696872e-04
18	SOX17	SRY (sex determining region Y)-box 17	1249	6	0	1	6	0	0	1	7	7	3	2.471280e-03	2.000000e-05	9.636000e-02	4.575808e-07	4.644699e-04
19	CCND1	cyclin D1	904	20	0	1	11	1	0	2	14	14	12	1.456591e-06	9.700000e-02	1.770000e-01	1.341483e-06	1.290012e-03
20	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	941	5	0	2	8	1	0	0	9	9	6	1.061370e-02	1.300000e-04	1.385000e-02	1.810542e-06	1.654021e-03
21	EP300	E1A binding protein p300	7365	9	0	5	21	7	2	2	32	21	31	8.904968e-07	4.780000e-01	8.900000e-02	3.125469e-06	2.614787e-03
22	KLHL8	kelch-like 8 (Drosophila)	1895	3	0	1	11	8	0	0	19	12	16	1.006110e-04	3.000000e-03	1.949000e-01	3.148449e-06	2.614787e-03
23	ALG8	asparagine-linked glycosylation 8 homolog (S. cerevisiae, alpha-1,3-glucosyltransferase)	1694	11	0	1	5	4	2	0	11	11	11	2.210949e-07	1	9.520000e-01	3.609303e-06	2.867199e-03
24	GNPTAB	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	3851	35	0	4	21	6	0	0	27	20	22	2.968712e-04	2.666667e-04	8.126000e-01	4.161143e-06	3.167844e-03
25	SIN3A	SIN3 homolog A, transcription regulator (yeast)	3902	8	0	3	17	6	2	4	29	21	27	1.325176e-06	3.480000e-01	1.280000e-01	4.618790e-06	3.375597e-03
26	ARID5B	AT rich interactive domain 5B (MRF1-like)	3603	16	0	8	19	5	1	9	34	29	33	1.375633e-06	1.470000e-01	9.700000e-01	5.051658e-06	3.549956e-03
27	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	1834	9	0	0	14	0	0	0	14	14	11	2.555932e-03	3.900000e-04	3.254000e-02	5.288864e-06	3.578994e-03
28	ZNF471	zinc finger protein 471	1897	7	0	1	15	4	1	1	21	15	16	3.751834e-02	1.000000e-05	5.582800e-01	5.926340e-06	3.867149e-03
29	MORC4	MORC family CW-type zinc finger 4	2878	4	0	3	16	8	1	2	27	20	25	3.043711e-06	1.800000e-01	2.070000e-01	6.363604e-06	4.009290e-03
30	SELP	selectin P (granule membrane protein 140kDa, antigen CD62)	2558	0	0	0	9	2	2	0	13	10	11	3.149120e-04	8.000000e-04	8.884500e-01	7.123039e-06	4.338168e-03
31	RBMX	RNA binding motif protein, X-linked	1265	1	0	0	6	1	0	6	13	12	8	5.261171e-04	5.666667e-04	2.869000e-01	8.638537e-06	5.091442e-03
32	FAT1	FAT tumor suppressor homolog 1 (Drosophila)	13871	0	0	27	67	19	3	2	91	40	87	2.202605e-06	2.900000e-01	8.700000e-01	1.159102e-05	6.618110e-03
33	MARK3	MAP/microtubule affinity-regulating kinase 3	2330	27	0	4	7	4	0	3	14	11	11	1.388918e-02	8.000000e-05	6.717400e-01	1.443164e-05	7.990317e-03
34	SOS1	son of sevenless homolog 1 (Drosophila)	4092	5	0	1	12	1	0	0	13	12	10	1.125577e-01	1.000000e-05	3.775000e-02	1.654284e-05	8.889831e-03
35	RBBP6	retinoblastoma binding protein 6	5499	0	0	5	20	11	3	4	38	22	36	3.250830e-06	2.940000e-01	9.750000e-01	1.839430e-05	9.602352e-03
36	ZNF263	zinc finger protein 263	2072	1	0	0	11	0	0	1	12	7	9	1.339233e-01	2.400000e-04	2.212000e-02	1.945023e-05	9.618545e-03
37	INTS7	integrator complex subunit 7	3018	2	0	2	9	3	0	0	12	8	8	1.341301e-01	1.600000e-04	9.040000e-03	1.947820e-05	9.618545e-03
38	L1TD1	LINE-1 type transposase domain containing 1	2602	8	0	3	21	5	0	1	27	16	25	1.713439e-05	4.530000e-01	2.400000e-02	2.263720e-05	1.082419e-02
39	NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)	1071	6	0	0	7	0	0	0	7	7	5	8.710125e-04	9.500000e-04	5.155500e-01	2.310455e-05	1.082419e-02
40	JAKMIP2	janus kinase and microtubule interacting protein 2	2509	41	0	3	16	5	2	0	23	12	19	1.861295e-01	1.000000e-05	1.367400e-01	2.641966e-05	1.193363e-02
41	ING1	inhibitor of growth family, member 1	1417	37	1	2	6	6	0	0	12	12	9	1.430715e-04	5.030000e-02	3.040000e-02	2.677899e-05	1.193363e-02
42	CCDC6	coiled-coil domain containing 6	1457	2	0	1	2	2	0	2	6	6	4	1.865982e-03	5.333333e-04	9.857333e-01	2.893402e-05	1.258699e-02
43	ZNF781	zinc finger protein 781	984	53	0	1	9	4	0	0	13	10	6	2.727598e-02	1.000000e-05	1.727900e-01	3.767383e-05	1.583940e-02
