rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	SETD2	SET domain containing 2	7777	24	0	1	15	17	6	10	48	44	46	1.000000e-16	2.820000e-01	2.200000e-02	1.110223e-16	2.027045e-12
2	PBRM1	polybromo 1	5418	110	0	2	25	43	14	52	134	131	123	1.815868e-16	7.740000e-01	1.700000e-02	1.776357e-15	1.148659e-11
3	KDM5C	lysine (K)-specific demethylase 5C	4879	10	0	1	9	7	1	9	26	26	26	1.000000e-16	4.080000e-01	5.880000e-01	1.887379e-15	1.148659e-11
4	VHL	von Hippel-Lindau tumor suppressor	650	0	0	2	102	38	19	71	230	222	137	3.563626e-15	9.770000e-01	9.920000e-01	1.221245e-13	5.574374e-10
5	MTOR	mechanistic target of rapamycin (serine/threonine kinase)	8871	87	0	4	30	0	0	1	31	30	25	8.602694e-08	1.000000e-05	8.095900e-01	2.475986e-11	9.041311e-08
6	TP53	tumor protein p53	1889	49	0	1	7	1	2	0	10	9	10	2.411707e-08	2.053000e-01	5.100000e-03	3.913343e-09	1.190830e-05
7	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	1	0	1	5	4	2	6	17	15	17	1.783756e-09	8.200000e-02	8.900000e-01	5.138590e-09	1.340291e-05
8	NEFH	neurofilament, heavy polypeptide 200kDa	3077	3	0	0	1	0	0	5	6	6	5	4.662614e-06	3.400000e-02	1.390000e-01	1.375276e-06	3.138723e-03
9	NF2	neurofibromin 2 (merlin)	1894	55	0	0	1	1	3	1	6	6	6	3.107108e-06	1	5.000000e-02	4.686607e-06	9.507564e-03
10	ATM	ataxia telangiectasia mutated	9438	5	0	1	7	4	1	3	15	12	15	2.136150e-04	4.250000e-02	2.070000e-02	7.628239e-06	1.392764e-02
11	NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11	500	95	0	0	0	0	0	4	4	4	1	2.032899e-03	1.666667e-04	9.745000e-01	1.379172e-05	2.289175e-02
12	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	2	0	0	9	1	0	0	10	10	7	1.352796e-01	1.000000e-05	7.848200e-01	1.963359e-05	2.987250e-02
13	GPR50	G protein-coupled receptor 50	1860	3	0	0	0	0	0	3	3	3	2	6.526793e-04	5.200000e-03	5.304000e-01	3.533390e-05	4.962510e-02
14	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)	1498	97	0	0	3	0	1	1	5	5	5	3.928518e-06	1	8.750000e-01	5.282775e-05	6.889494e-02
