rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1314	229	0	0	17	6	6	2	31	22	29	1.231218e-16	8.137000e-01	2.100000e-03	1.110223e-16	2.026490e-12
2	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	142	0	0	2	1	0	6	9	6	9	2.122961e-08	2.000000e-05	6.878300e-01	5.346723e-11	4.879687e-07
3	ZNF814	zinc finger protein 814	2576	388	0	0	5	0	0	0	5	3	4	3.667176e-03	1.100000e-04	6.724200e-01	6.880951e-06	3.575570e-02
4	CDC27	cell division cycle 27 homolog (S. cerevisiae)	2565	35	0	1	6	1	0	0	7	6	7	5.056022e-07	1	8.500000e-01	7.835578e-06	3.575570e-02
5	PABPC1	poly(A) binding protein, cytoplasmic 1	1966	6	0	0	4	1	0	5	10	7	9	9.359319e-06	6.600000e-02	7.030000e-01	1.064815e-05	3.887213e-02
6	AMAC1L3	acyl-malonyl condensing enzyme 1-like 3	1023	179	0	0	7	0	0	0	7	5	7	1.452352e-06	1	9.450000e-01	2.097534e-05	6.381048e-02
7	MTMR9	myotubularin related protein 9	1686	1	0	0	0	0	0	2	2	2	1	2.207625e-04	1.000000e-02	8.911000e-01	3.095884e-05	8.072739e-02
8	RB1	retinoblastoma 1 (including osteosarcoma)	2891	14	0	0	0	0	0	4	4	2	4	6.541222e-04	8.500000e-03	1.812000e-01	4.209559e-05	9.604635e-02
9	FAM26F	family with sequence similarity 26, member F	958	56	0	0	2	0	0	0	2	2	2	5.954961e-04	1	1.000000e-02	7.760080e-05	1.573830e-01
10	GFM1	G elongation factor, mitochondrial 1	2326	51	0	0	1	0	0	2	3	3	2	1.372898e-03	5.200000e-03	9.832000e-01	9.822344e-05	1.792873e-01
11	PABPC3	poly(A) binding protein, cytoplasmic 3	1898	74	0	1	9	0	0	0	9	7	9	1.233528e-05	1	1	1.517615e-04	2.518275e-01
12	URGCP	upregulator of cell proliferation	2818	9	0	0	1	0	0	2	3	3	2	3.157833e-03	5.200000e-03	3.702000e-01	2.180959e-04	3.241873e-01
13	NOM1	nucleolar protein with MIF4G domain 1	2625	51	0	1	0	0	0	4	4	1	4	1.949176e-01	1.000000e-04	4.917200e-01	2.308900e-04	3.241873e-01
14	OR4K17	olfactory receptor, family 4, subfamily K, member 17	1032	202	0	0	0	0	0	4	4	1	4	3.020981e-01	1.000000e-04	4.368300e-01	3.446137e-04	4.493024e-01
15	UBQLN1	ubiquilin 1	1810	104	0	0	0	0	0	5	5	1	5	2.082057e-01	1.200000e-04	9.769800e-01	3.981559e-04	4.842718e-01
16	NASP	nuclear autoantigenic sperm protein (histone-binding)	2502	319	0	0	3	0	0	0	3	2	3	1.338673e-02	4.900000e-03	3.345000e-01	4.466871e-04	4.842718e-01
17	MUC5B	mucin 5B, oligomeric mucus/gel-forming	17492	3	0	2	7	0	0	5	12	12	12	7.956420e-05	1	3.980000e-01	4.621606e-04	4.842718e-01
18	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	718	389	0	0	1	0	0	2	3	2	3	1.879185e-02	1.380000e-02	1.728000e-01	4.775595e-04	4.842718e-01
19	RHBDD3	rhomboid domain containing 3	1181	99	0	0	0	0	0	2	2	2	1	4.963701e-03	1.000000e-02	7.750000e-01	5.415782e-04	5.202856e-01
20	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	503	460	0	0	0	1	0	2	3	2	3	9.914093e-03	4.670000e-02	4.700000e-02	6.286025e-04	5.736941e-01
21	HLA-A	major histocompatibility complex, class I, A	1128	589	0	0	4	1	0	0	5	5	5	6.184886e-05	1	1	6.612149e-04	5.747217e-01
