rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	659	104	0	0	18	0	0	0	18	18	3	1.083521e-16	1.000000e-05	5.300000e-04	1.000000e-16	1.825300e-12
2	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	8807	1	0	0	1	3	2	10	16	15	16	1.000000e-16	1	6.190000e-01	3.774758e-15	3.445033e-11
3	EPAS1	endothelial PAS domain protein 1	2673	195	0	0	8	0	0	0	8	8	4	8.721880e-11	1.000000e-05	2.100000e-04	3.108624e-14	1.891391e-10
4	NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11	500	111	0	0	0	0	0	5	5	5	1	1.344373e-08	1.000000e-05	9.866100e-01	1.951239e-11	8.903992e-08
5	RET	ret proto-oncogene	3451	95	0	0	7	0	0	0	7	6	4	2.427816e-07	4.166667e-04	6.790000e-02	1.488564e-09	5.434152e-06
6	SHROOM4	shroom family member 4	4516	6	0	0	0	0	0	3	3	3	1	1.861515e-04	1.000000e-03	7.183200e-01	3.070887e-06	9.342149e-03
7	AMMECR1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1	1024	481	0	0	0	0	0	3	3	3	2	2.932409e-05	2.100000e-02	9.990000e-01	9.422037e-06	2.456863e-02
8	GPR128	G protein-coupled receptor 128	2454	233	0	0	4	0	0	0	4	4	4	3.260495e-06	1	9.610000e-01	4.445238e-05	1.014237e-01
9	CD99L2	CD99 molecule-like 2	829	61	0	0	0	0	0	2	2	2	1	1.127786e-03	1.000000e-02	5.009000e-01	1.397628e-04	2.834545e-01
10	CSDE1	cold shock domain containing E1, RNA-binding	2611	47	0	0	0	0	2	2	4	4	4	6.099695e-05	1	2.680000e-01	2.502901e-04	4.568546e-01
11	FAM120C	family with sequence similarity 120C	3373	84	0	0	0	0	0	2	2	2	1	2.566483e-03	1.000000e-02	7.048000e-01	2.969520e-04	4.927514e-01
12	FAM83D	family with sequence similarity 83, member D	1862	113	0	0	2	0	0	1	3	3	3	3.169217e-05	1	7.030000e-01	3.600053e-04	5.205599e-01
13	CLEC17A	C-type lectin domain family 17, member A	916	397	0	0	0	0	0	2	2	2	1	3.273087e-03	1.000000e-02	6.950000e-01	3.707489e-04	5.205599e-01
14	MUC2	mucin 2, oligomeric mucus/gel-forming	8640	0	0	0	0	0	0	2	2	2	2	6.702588e-03	1.000000e-02	8.727000e-01	7.111735e-04	9.272179e-01
15	SUSD4	sushi domain containing 4	1658	417	0	0	2	0	0	1	3	2	3	1.004807e-02	7.800000e-03	8.377000e-01	9.511313e-04	1
16	P2RY1	purinergic receptor P2Y, G-protein coupled, 1	1122	113	0	0	1	1	0	0	2	2	2	6.586380e-04	1	8.700000e-02	1.046302e-03	1
17	LAMA4	laminin, alpha 4	5788	46	0	1	2	0	0	0	2	2	1	1.680502e-02	1.000000e-02	3.424500e-01	1.628616e-03	1
