rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1889	173	0	0	255	39	44	51	389	385	177	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	1.825600e-12
2	RB1	retinoblastoma 1 (including osteosarcoma)	3704	12	0	0	5	4	2	4	15	15	15	1.000000e-16	1	1.950000e-01	1.998401e-15	1.283655e-11
3	BRCA1	breast cancer 1, early onset	5750	8	0	0	1	7	1	9	18	18	18	1.000000e-16	1	2.740000e-01	2.109424e-15	1.283655e-11
4	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	12120	0	0	0	7	6	2	11	26	24	26	9.439691e-14	1	7.700000e-01	2.925438e-12	1.335170e-08
5	CDK12	cyclin-dependent kinase 12	4525	11	0	0	6	3	0	6	15	15	15	8.143245e-09	1	1.660000e-01	4.862382e-08	1.775353e-04
6	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	1000	0	0	5	0	0	0	5	5	2	3.200477e-02	1.000000e-05	1.087900e-01	5.106296e-06	1.553676e-02
7	HNF1B	HNF1 homeobox B	1706	16	0	0	3	0	1	1	5	5	5	3.006862e-06	1	3.500000e-01	2.109607e-05	5.501854e-02
8	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	121	0	0	2	0	1	2	5	5	5	4.869441e-06	1	4.990000e-01	3.915958e-05	7.674640e-02
9	LARP1	La ribonucleoprotein domain family, member 1	3134	8	0	0	0	0	2	2	4	4	4	2.939701e-06	1	4.810000e-01	4.038327e-05	7.674640e-02
10	BRCA2	breast cancer 2, early onset	10361	1	0	0	4	3	0	5	12	12	12	3.069916e-06	1	9.590000e-01	4.203900e-05	7.674640e-02
11	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	1522	261	0	0	4	1	1	1	7	7	7	1.511668e-05	1	2.290000e-01	6.107581e-05	8.813478e-02
12	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	941	34	0	0	3	1	0	0	4	4	3	2.425729e-04	2.000000e-02	9.540000e-01	6.421502e-05	8.813478e-02
13	MTA2	metastasis associated 1 family, member 2	2581	34	0	0	3	0	1	0	4	4	3	6.397722e-04	7.900000e-03	8.650000e-01	6.669165e-05	8.813478e-02
14	ERCC6	excision repair cross-complementing rodent repair deficiency, complementation group 6	6344	15	0	0	1	2	1	0	4	4	4	1.768188e-05	1	2.390000e-01	6.758802e-05	8.813478e-02
15	IL21R	interleukin 21 receptor	1649	129	0	0	5	1	0	2	8	8	8	6.484059e-06	1	7.410000e-01	8.394369e-05	1.021651e-01
16	PKD1L1	polycystic kidney disease 1 like 1	8862	5	0	1	5	1	0	1	7	6	7	1.348203e-02	1	1.875000e-04	1.186362e-04	1.353639e-01
17	SAMD9L	sterile alpha motif domain containing 9-like	4759	30	0	2	6	2	0	1	9	9	9	4.827587e-05	1	1.940000e-01	1.520253e-04	1.632573e-01
18	AQP2	aquaporin 2 (collecting duct)	830	9	0	1	2	1	0	0	3	3	3	4.585938e-04	1	2.600000e-02	1.881781e-04	1.908544e-01
19	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	7449	13	0	1	5	1	2	3	11	11	11	1.702265e-05	1	5.020000e-01	2.039478e-04	1.917452e-01
20	C9orf171	chromosome 9 open reading frame 171	989	134	0	0	4	0	0	1	5	5	5	2.143943e-03	1	2.800000e-03	2.100627e-04	1.917452e-01
21	NCOA3	nuclear receptor coactivator 3	4389	3	0	1	3	0	0	2	5	5	5	1.899346e-02	7.500000e-03	1.073000e-01	3.266671e-04	2.725345e-01
22	RB1CC1	RB1-inducible coiled-coil 1	4873	7	0	1	4	3	0	2	9	9	9	7.236961e-05	1	3.370000e-01	3.284267e-04	2.725345e-01
23	PPM1F	protein phosphatase 1F (PP2C domain containing)	1393	87	0	0	5	0	0	0	5	5	4	1.104493e-03	5.500000e-02	4.060000e-01	3.635062e-04	2.794083e-01
24	RPGRIP1	retinitis pigmentosa GTPase regulator interacting protein 1	3955	160	0	1	5	0	2	0	7	7	7	1.732569e-04	1	1.140000e-01	3.673203e-04	2.794083e-01
25	KDM5C	lysine (K)-specific demethylase 5C	4879	10	0	1	5	0	0	3	8	8	8	3.670388e-05	1	6.090000e-01	4.115470e-04	3.005281e-01
26	COL5A3	collagen, type V, alpha 3	5504	25	0	2	9	0	1	0	10	10	10	1.779959e-04	1	1.540000e-01	5.435781e-04	3.816755e-01
