rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	APC	adenomatous polyposis coli	8592	0	0	194	319	374	29	134	856	403	435	1.000000e-16	1.000000e-05	1	1.000000e-16	3.655800e-13
2	TP53	tumor protein p53	1890	0	0	68	339	47	27	33	446	323	226	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	3.655800e-13
3	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	2	0	19	48	22	5	21	96	83	73	1.271769e-16	1.000000e-05	4.168000e-02	1.000000e-16	3.655800e-13
4	RNF43	ring finger protein 43	2384	5	0	2	16	2	1	37	56	47	28	1.000000e-16	1.000000e-05	2.755900e-01	1.000000e-16	3.655800e-13
5	CRIPAK	cysteine-rich PAK1 inhibitor	1341	19	0	3	13	1	0	17	31	29	17	3.923694e-15	1.000000e-05	1.795000e-02	1.000000e-16	3.655800e-13
6	SOX9	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	1538	1	0	0	8	7	1	30	46	41	43	1.000000e-16	1.700000e-01	4.960000e-01	8.881784e-16	2.609199e-12
7	FAM123B	family with sequence similarity 123B	3412	25	0	7	24	30	0	12	66	60	49	1.214769e-15	1.010000e-02	7.747000e-01	9.992007e-16	2.609199e-12
8	ZFP36L2	zinc finger protein 36, C3H type-like 2	1489	23	0	1	1	1	0	15	17	17	14	5.125854e-14	7.300000e-03	7.020000e-02	5.773160e-15	1.319095e-11
9	B2M	beta-2-microglobulin	374	4	0	1	7	2	5	8	22	17	16	7.912960e-15	4.300000e-02	2.480000e-01	1.387779e-14	2.818579e-11
10	TXNDC2	thioredoxin domain-containing 2 (spermatozoa)	1672	46	0	2	6	1	0	20	27	24	10	1.011781e-10	1.000000e-05	9.751200e-01	3.597123e-14	6.575180e-11
11	ACVR1B	activin A receptor, type IB	1679	9	0	0	23	7	0	3	33	28	27	6.110872e-11	3.000000e-04	7.680000e-02	5.981882e-13	9.940256e-10
12	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	2709	0	0	19	73	10	13	4	100	86	72	2.192266e-09	1.000000e-05	2.319800e-01	7.114309e-13	1.083687e-09
13	MLH1	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	4163	1	0	17	41	3	18	8	70	59	49	7.143730e-09	1.000000e-05	1.293900e-01	2.233880e-12	3.141007e-09
14	BCOR	BCL6 co-repressor	5324	0	0	5	11	9	2	9	31	30	28	1.348797e-11	8.100000e-02	6.900000e-03	3.410161e-12	4.452452e-09
15	SMAD2	SMAD family member 2	1444	40	0	1	15	7	2	0	24	22	18	2.796332e-10	3.850000e-03	1.505000e-02	1.117606e-11	1.361915e-08
16	WNT1	wingless-type MMTV integration site family, member 1	1125	1	0	0	0	0	0	7	7	7	1	6.871327e-08	1.000000e-05	1.000000e-05	1.993117e-11	2.277011e-08
17	FMN2	formin 2	5237	1	0	15	32	1	1	39	73	63	41	8.695759e-08	1.000000e-05	1	2.501832e-11	2.690058e-08
18	GGT1	gamma-glutamyltransferase 1	2332	0	0	1	0	0	1	9	10	10	3	1.251435e-07	1.000000e-05	3.151000e-02	3.554912e-11	3.610013e-08
19	STARD3NL	STARD3 N-terminal like	737	46	0	2	15	0	0	0	15	15	5	8.581239e-07	2.000000e-05	9.500000e-04	2.272436e-10	2.186203e-07
20	SELPLG	selectin P ligand	1217	21	0	2	6	0	0	14	20	19	11	7.405725e-08	4.500000e-04	5.911500e-01	1.191731e-09	1.089183e-06
21	OR4D10	olfactory receptor, family 4, subfamily D, member 10	936	91	0	2	17	1	0	0	18	16	11	6.479539e-06	1.000000e-05	1.310000e-02	1.584881e-09	1.379526e-06
22	NF2	neurofibromin 2 (merlin)	1894	0	0	27	54	15	12	1	82	67	62	9.635918e-06	1.000000e-05	4.101400e-01	2.318685e-09	1.926511e-06
23	MAPK6	mitogen-activated protein kinase 6	2182	8	0	1	17	0	2	0	19	19	14	1.066116e-05	1.000000e-05	8.442000e-02	2.554609e-09	2.030248e-06
24	RHOA	ras homolog gene family, member A	918	5	0	0	7	3	1	2	13	13	9	1.731093e-08	4.900000e-03	4.893000e-01	3.242879e-09	2.469857e-06
25	FAM9A	family with sequence similarity 9, member A	1035	0	0	1	4	0	0	9	13	12	8	2.401071e-06	3.200000e-04	7.161000e-02	3.950873e-09	2.888720e-06
26	EGR1	early growth response 1	1636	1	0	2	7	2	0	5	14	12	11	2.256639e-05	1.200000e-04	8.083000e-02	5.238104e-09	3.682588e-06
27	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	12728	17	0	22	72	6	10	8	96	70	77	2.711158e-05	1.000000e-05	7.485900e-01	6.243384e-09	4.226771e-06
28	RPTN	repetin	2363	7	0	2	2	1	0	15	18	18	5	3.130500e-05	1.000000e-05	2.791500e-01	7.164043e-09	4.566068e-06
29	THOC7	THO complex 7 homolog (Drosophila)	643	4	0	0	7	0	4	1	12	11	7	3.167118e-05	1.000000e-05	6.976100e-01	7.244158e-09	4.566068e-06
30	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	12120	0	0	49	102	18	23	2	145	107	105	3.654200e-05	1.000000e-05	5.680000e-03	8.305986e-09	5.060837e-06
31	FBXW7	F-box and WD repeat domain containing 7	2580	0	2	53	117	26	5	8	156	130	91	4.250031e-05	1.000000e-05	4.100000e-04	9.596112e-09	5.658301e-06
32	CHUK	conserved helix-loop-helix ubiquitous kinase	2320	12	0	2	22	1	3	1	27	24	20	5.080649e-05	1.000000e-05	8.129000e-02	1.138086e-08	6.500962e-06
33	ATXN3L	ataxin 3-like	1068	19	0	2	19	1	0	1	21	20	16	9.223145e-06	1.000000e-05	3.850000e-01	1.234885e-08	6.840138e-06
34	MGA	MAX gene associated	9290	1	0	10	36	5	2	11	54	43	43	1.262454e-04	1.000000e-05	9.977700e-01	2.713041e-08	1.458579e-05
35	TPRKB	TP53RK binding protein	544	117	0	0	10	0	0	0	10	10	3	1.974944e-04	1.000000e-05	7.300000e-04	4.155820e-08	2.170407e-05
36	MVK	mevalonate kinase	1398	18	0	2	5	0	0	10	15	14	6	2.681031e-04	1.000000e-05	5.800000e-04	5.559672e-08	2.822923e-05
37	ZBTB20	zinc finger and BTB domain containing 20	2238	0	0	9	10	0	0	14	24	22	11	2.983225e-04	1.000000e-05	9.107700e-01	6.154472e-08	2.962975e-05
38	BCL9	B-cell CLL/lymphoma 9	4305	2	0	3	17	6	2	6	31	27	29	1.478162e-08	1.550000e-01	9.740000e-01	6.159695e-08	2.962975e-05
39	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	3886	29	0	6	37	0	0	0	37	36	30	3.331598e-04	2.000000e-05	2.290000e-03	6.836377e-08	3.204157e-05
40	P2RY13	purinergic receptor P2Y, G-protein coupled, 13	1071	19	0	2	14	1	0	0	15	15	11	3.947586e-05	9.000000e-05	5.082000e-02	7.267495e-08	3.321063e-05
41	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	1032	28	0	0	10	2	0	2	14	12	11	3.844486e-04	2.000000e-05	1.002300e-01	7.833765e-08	3.492522e-05
42	IQCD	IQ motif containing D	1052	97	0	2	13	0	0	0	13	13	7	4.320245e-04	7.000000e-05	1.000000e-05	8.752797e-08	3.795968e-05
43	PLEKHF2	pleckstrin homology domain containing, family F (with FYVE domain) member 2	754	69	0	1	10	1	0	1	12	12	6	4.412164e-04	1.000000e-05	6.097000e-02	8.929735e-08	3.795968e-05
44	NR1H3	nuclear receptor subfamily 1, group H, member 3	1625	2	0	3	9	0	0	6	15	15	10	1.235151e-05	1.200000e-04	9.572800e-01	9.470255e-08	3.934245e-05
45	ALPK2	alpha-kinase 2	6561	7	0	13	47	3	0	12	62	46	45	5.091610e-04	1.000000e-05	5.584300e-01	1.023193e-07	4.156211e-05
46	ASXL1	additional sex combs like 1 (Drosophila)	4678	8	0	21	35	11	1	5	52	46	44	5.440357e-04	1.000000e-05	3.926900e-01	1.089672e-07	4.330025e-05
47	ALG12	asparagine-linked glycosylation 12 homolog (S. cerevisiae, alpha-1,6-mannosyltransferase)	1786	0	0	0	2	0	0	5	7	7	5	6.745702e-05	4.000000e-05	9.454200e-01	1.209353e-07	4.703352e-05
48	PTCH1	patched homolog 1 (Drosophila)	4640	1	0	53	114	14	7	7	142	103	102	6.606286e-04	1.000000e-05	1.460600e-01	1.310373e-07	4.990064e-05
49	GRB2	growth factor receptor-bound protein 2	670	49	0	1	10	0	1	0	11	11	6	7.113040e-04	5.100000e-04	2.545000e-02	1.405632e-07	5.243580e-05
50	NLRC4	NLR family, CARD domain containing 4	3106	6	0	4	26	6	0	2	34	26	23	7.800518e-04	1.000000e-05	9.981000e-01	1.534290e-07	5.552189e-05
51	PLAGL2	pleiomorphic adenoma gene-like 2	1648	0	0	1	1	0	0	5	6	6	2	7.879918e-04	1.000000e-05	7.904500e-01	1.549109e-07	5.552189e-05
52	C11orf30	chromosome 11 open reading frame 30	4049	12	0	6	18	3	2	1	24	23	19	8.501117e-04	1.000000e-05	1.894200e-01	1.664780e-07	5.747160e-05
53	DIP2B	DIP2 disco-interacting protein 2 homolog B (Drosophila)	4879	52	0	11	19	2	11	0	32	30	24	2.269276e-05	4.500000e-04	1.793500e-01	1.666390e-07	5.747160e-05
54	PRRG1	proline rich Gla (G-carboxyglutamic acid) 1	749	1	0	2	7	0	0	7	14	14	8	4.347748e-05	1.400000e-04	9.999100e-01	1.781468e-07	6.030271e-05
55	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	2361	0	1	13	42	11	3	7	63	51	41	9.657410e-04	1.000000e-05	1.228500e-01	1.878901e-07	6.204571e-05
56	PCBP1	poly(rC) binding protein 1	1071	55	0	1	15	0	0	0	15	15	5	9.776365e-04	1.000000e-05	5.500000e-04	1.900848e-07	6.204571e-05
57	IFT57	intraflagellar transport 57 homolog (Chlamydomonas)	1330	13	0	1	6	5	2	1	14	13	11	6.364748e-06	3.333333e-03	7.053333e-02	1.975871e-07	6.317039e-05
58	RSPH3	radial spoke head 3 homolog (Chlamydomonas)	1711	0	0	0	6	4	1	0	11	11	8	1.033881e-03	2.900000e-04	4.700000e-04	2.004422e-07	6.317039e-05
59	RLIM	ring finger protein, LIM domain interacting	1887	22	0	3	18	1	0	0	19	18	7	1.072931e-03	1.000000e-05	9.640300e-01	2.076152e-07	6.432200e-05
60	ROS1	c-ros oncogene 1 , receptor tyrosine kinase	7212	1	0	14	45	5	17	6	73	55	55	1.133386e-03	1.000000e-05	8.954100e-01	2.186921e-07	6.662455e-05
61	MPHOSPH10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	2089	6	0	5	13	1	0	6	20	18	15	1.288252e-03	3.000000e-05	7.630000e-03	2.469243e-07	7.399229e-05
62	VCX2	variable charge, X-linked 2	426	14	0	1	2	0	0	10	12	12	3	1.356572e-04	6.000000e-05	9.993500e-01	2.593185e-07	7.645295e-05
63	C2orf29	chromosome 2 open reading frame 29	1559	3	0	0	18	0	1	0	19	19	9	1.474151e-03	1.000000e-05	7.887100e-01	2.805692e-07	8.140515e-05
