rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	MYD88	myeloid differentiation primary response gene (88)	970	46	0	0	2	5	0	0	7	7	4	1.542298e-11	9.210000e-02	7.000000e-03	4.885981e-12	8.918380e-08
2	FRG1	FSHD region gene 1	811	178	0	0	12	0	0	0	12	9	5	4.754772e-06	1.000000e-05	9.964800e-01	1.177723e-09	1.074849e-05
3	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	16826	6	0	2	6	4	1	7	18	14	18	1.077605e-09	8.000000e-02	9.870000e-01	2.655133e-09	1.615471e-05
4	TPPP	tubulin polymerization promoting protein	672	16	0	1	5	0	0	0	5	5	1	1.678060e-05	2.000000e-05	4.642100e-01	3.944820e-09	1.800120e-05
5	CHIT1	chitinase 1 (chitotriosidase)	1443	5	0	0	5	4	0	0	9	6	3	2.448297e-05	1.000000e-05	1.358300e-01	5.663024e-09	2.067343e-05
6	B2M	beta-2-microglobulin	374	802	0	0	7	0	0	3	10	8	9	1.675801e-08	3.460000e-01	1.120000e-01	3.857974e-08	1.173660e-04
7	TPTE2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	1649	19	0	0	11	0	0	0	11	11	3	3.211633e-04	1.000000e-05	9.243900e-01	6.601989e-08	1.721516e-04
8	RHPN2	rhophilin, Rho GTPase binding protein 2	2119	129	0	1	6	0	0	0	6	6	3	4.586468e-04	1.000000e-05	1.230000e-03	9.264737e-08	1.980813e-04
9	FOXD4L1	forkhead box D4-like 1	1227	81	0	1	7	0	0	0	7	7	3	5.271033e-04	1.000000e-05	2.264100e-01	1.057424e-07	1.980813e-04
10	DND1	dead end homolog 1 (zebrafish)	1076	27	0	1	5	0	0	0	5	5	2	5.416853e-05	1.000000e-04	4.200100e-01	1.085199e-07	1.980813e-04
11	ATXN1	ataxin 1	2452	2	0	0	6	0	0	4	10	7	5	8.425673e-04	1.000000e-05	1	1.650756e-07	2.739205e-04
12	TP53	tumor protein p53	1314	41	0	0	4	1	1	0	6	6	6	8.453320e-07	1	6.000000e-03	2.340103e-07	3.427370e-04
13	CDC27	cell division cycle 27 homolog (S. cerevisiae)	2565	8	0	1	13	1	0	0	14	10	7	1.272718e-03	1.000000e-05	4.861300e-01	2.441013e-07	3.427370e-04
14	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A	2149	10	0	0	0	0	0	4	4	4	2	1.518036e-04	1.000000e-04	1.287600e-01	2.884764e-07	3.761115e-04
15	NOTCH2NL	Notch homolog 2 (Drosophila) N-terminal like	727	151	0	0	4	0	0	0	4	4	2	2.225439e-04	1.400000e-04	3.687400e-01	4.143929e-07	5.042609e-04
16	KRT3	keratin 3	1921	1	0	1	1	0	0	3	4	4	2	2.556879e-04	1.000000e-04	1.062900e-01	4.725597e-07	5.391020e-04
17	OR1S2	olfactory receptor, family 1, subfamily S, member 2	977	31	0	1	12	0	0	0	12	10	4	1.290158e-02	1.000000e-05	1	2.175635e-06	2.335993e-03
18	RGPD5	RANBP2-like and GRIP domain containing 5	16398	19	0	0	6	0	0	0	6	5	3	1.583231e-02	1.000000e-05	8.267300e-01	2.637446e-06	2.674517e-03
19	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	2405	8	0	1	2	1	0	4	7	6	7	2.821813e-07	1	7.640000e-01	4.537677e-06	4.359275e-03
20	REXO1	REX1, RNA exonuclease 1 homolog (S. cerevisiae)	3728	1	0	1	4	0	0	2	6	2	3	3.706725e-02	1.000000e-05	9.987800e-01	5.859571e-06	5.347738e-03
21	RBMXL1	RNA binding motif protein, X-linked-like 1	1173	53	0	1	4	0	0	0	4	4	1	3.849108e-03	1.000000e-04	4.928800e-01	7.199957e-06	6.017754e-03
22	C20orf111	chromosome 20 open reading frame 111	891	1	0	2	2	0	2	0	4	2	2	1.095379e-03	3.750000e-04	9.991750e-01	7.253087e-06	6.017754e-03
23	CCDC66	coiled-coil domain containing 66	2921	5	0	0	1	1	0	3	5	4	4	1.700569e-05	1.800000e-02	7.230000e-01	8.147898e-06	6.274689e-03
24	NOTCH2	Notch homolog 2 (Drosophila)	7548	1	0	1	5	1	0	1	7	7	4	5.342629e-02	4.000000e-05	1.905700e-01	8.250289e-06	6.274689e-03
25	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	1094	25	0	1	7	0	0	0	7	6	3	2.803532e-02	1.000000e-05	9.895000e-01	1.260631e-05	9.204118e-03
26	FAM120B	family with sequence similarity 120B	2773	13	0	1	9	0	0	0	9	5	6	1.332582e-01	1.000000e-05	1	1.936027e-05	1.359166e-02
27	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	4905	2	0	4	1	0	0	3	4	4	2	1.567863e-02	1.000000e-04	9.432600e-01	2.252361e-05	1.522679e-02
28	C11orf40	chromosome 11 open reading frame 40	665	310	0	0	2	0	0	3	5	4	3	5.828364e-04	1.500000e-03	6.123500e-01	2.415442e-05	1.574609e-02
29	ZSCAN5A	zinc finger and SCAN domain containing 5A	1503	16	0	0	5	0	0	0	5	3	2	1.762043e-01	1.000000e-05	6.325100e-01	2.510742e-05	1.580296e-02
30	KRTAP4-5	keratin associated protein 4-5	548	2	0	0	4	0	0	4	8	4	6	2.311515e-04	6.200000e-03	9.746000e-01	3.050532e-05	1.856045e-02
31	DEFA1	defensin, alpha 1	879	35	0	0	4	0	0	0	4	4	1	3.335569e-04	4.100000e-03	9.232000e-01	3.605842e-05	2.123143e-02
32	SIRPA	signal-regulatory protein alpha	1547	4	0	3	16	0	1	0	17	5	7	2.934945e-01	1.000000e-05	1	4.032269e-05	2.207165e-02
33	TMPRSS13	transmembrane protease, serine 13	1754	3	0	2	2	0	0	2	4	3	3	1.655458e-02	1.200000e-04	9.965800e-01	4.089405e-05	2.207165e-02
