rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1890	52	1	0	39	8	7	9	63	62	50	1.000000e-16	1.790000e-03	2.100000e-04	1.000000e-16	9.146500e-13
2	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	2406	42	0	2	50	0	0	4	54	51	26	1.000000e-16	1.000000e-05	9.982000e-02	1.000000e-16	9.146500e-13
3	RB1	retinoblastoma 1 (including osteosarcoma)	3711	1	0	0	3	1	4	10	18	15	18	1.000000e-16	1	6.660000e-01	3.774758e-15	2.301722e-11
4	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	0	0	0	5	4	2	7	18	17	17	1.674735e-09	1.000000e-01	5.410000e-01	3.103577e-09	1.419343e-05
5	AXIN1	axin 1	2629	160	0	1	1	0	3	6	10	9	10	2.290431e-08	1	1.820000e-01	1.338700e-07	4.897768e-04
6	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	2254	51	0	0	3	2	1	5	11	11	11	6.410329e-07	1.610000e-01	6.000000e-02	3.949771e-07	1.204219e-03
7	ALB	albumin	1888	2	0	2	8	0	2	11	21	18	20	3.440205e-07	3.110000e-01	4.960000e-01	1.983921e-06	4.972717e-03
8	TSC2	tuberous sclerosis 2	5590	16	0	1	2	2	0	5	9	9	9	2.091952e-06	1	1.500000e-02	2.219662e-06	4.972717e-03
9	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	2817	22	0	1	1	1	0	5	7	7	7	1.461616e-07	1	5.970000e-01	2.446534e-06	4.972717e-03
10	APOB	apolipoprotein B (including Ag(x) antigen)	13804	21	0	3	16	2	0	9	27	25	27	1.806758e-06	1	6.300000e-02	4.858922e-06	8.888427e-03
11	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	82	0	0	2	1	1	3	7	7	7	9.972941e-07	1	8.050000e-01	1.477812e-05	2.457602e-02
12	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	1417	110	0	0	5	0	0	0	5	5	2	3.753675e-03	3.333333e-04	3.596667e-02	1.825711e-05	2.783144e-02
13	KIF19	kinesin family member 19	3073	24	0	0	9	0	0	1	10	10	10	7.386318e-06	1	4.460000e-01	5.449289e-05	7.230769e-02
14	THADA	thyroid adenoma associated	6010	16	0	0	2	2	1	1	6	6	6	4.130642e-06	1	7.060000e-01	5.533853e-05	7.230769e-02
15	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	12728	53	0	3	8	1	2	0	11	11	10	6.115200e-04	2.500000e-02	4.020000e-01	1.155706e-04	1.365263e-01
16	HNF1A	HNF1 homeobox A	1934	60	0	0	8	1	1	2	12	8	12	1.013286e-05	1	7.500000e-01	1.266580e-04	1.365263e-01
17	F5	coagulation factor V (proaccelerin, labile factor)	6771	2	0	0	3	0	1	0	4	4	3	1.015184e-01	1.820000e-03	6.790000e-03	1.268762e-04	1.365263e-01
18	GNAS	GNAS complex locus	4050	25	0	0	7	0	0	0	7	7	5	7.191917e-03	1.800000e-03	8.965000e-01	1.586435e-04	1.612258e-01
19	MLL4	myeloid/lymphoid or mixed-lineage leukemia 2	8293	23	0	2	5	2	3	0	10	10	10	2.966243e-05	1	4.210000e-01	1.869779e-04	1.800203e-01
20	HIST1H1C	histone cluster 1, H1c	646	373	0	0	5	0	0	0	5	5	5	4.817896e-04	4.500000e-02	8.900000e-01	3.108231e-04	2.842943e-01
21	UNC45B	unc-45 homolog B (C. elegans)	2872	46	0	0	5	0	1	0	6	6	6	5.604361e-03	1.560000e-02	2.460000e-01	3.857506e-04	3.360255e-01
22	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	1277	485	0	0	3	0	0	0	3	3	1	4.835424e-02	1.000000e-03	6.936556e-01	5.288482e-04	4.397373e-01
23	SEC24B	SEC24 related gene family, member B (S. cerevisiae)	3901	12	0	1	1	1	2	0	4	4	4	2.697682e-04	1	1.710000e-01	6.079830e-04	4.835580e-01
24	C15orf55	chromosome 15 open reading frame 55	3479	3	0	0	2	0	2	0	4	4	4	1.006718e-03	1	1.710000e-01	1.854780e-03	1
25	SPAG6	sperm associated antigen 6	1570	0	0	0	2	0	0	2	4	4	4	2.015045e-04	1	9.580000e-01	1.916247e-03	1
26	AKAP13	A kinase (PRKA) anchor protein 13	8656	35	0	2	5	1	2	0	8	8	8	5.604441e-03	3.200000e-02	8.680000e-01	2.107958e-03	1
27	STXBP3	syntaxin binding protein 3	1853	30	0	0	3	0	1	0	4	4	4	6.992204e-03	1	2.400000e-02	2.163030e-03	1
28	RBL2	retinoblastoma-like 2 (p130)	3504	2	0	1	2	1	1	1	5	5	5	8.197542e-04	1	2.320000e-01	2.425408e-03	1
29	PTGR1	prostaglandin reductase 1	1080	24	0	1	1	0	0	2	3	3	3	3.061339e-04	1	6.830000e-01	2.783213e-03	1
30	GPR132	G protein-coupled receptor 132	1147	112	0	0	2	0	0	1	3	2	3	1.248156e-01	1.440000e-02	1.116000e-01	2.931447e-03	1
31	KEAP1	kelch-like ECH-associated protein 1	1895	10	0	0	7	0	0	1	8	7	8	1.247762e-03	1	1.800000e-01	2.960674e-03	1
32	ZCCHC2	zinc finger, CCHC domain containing 2	3589	52	0	1	3	1	0	0	4	4	4	3.153317e-02	1	7.000000e-04	3.235443e-03	1
33	OAS2	2'-5'-oligoadenylate synthetase 2, 69/71kDa	2282	95	0	0	5	0	0	0	5	5	5	1.461691e-02	1.800000e-02	7.880000e-01	3.372941e-03	1
34	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	16826	8	0	2	6	0	1	4	11	11	11	1.105877e-03	1	2.730000e-01	3.384656e-03	1
35	MFSD3	major facilitator superfamily domain containing 3	1274	204	0	0	1	1	0	0	2	2	2	4.148292e-02	1	1.000000e-02	3.645372e-03	1
36	MLST8	MTOR associated protein, LST8 homolog (S. cerevisiae)	1066	33	0	1	2	0	1	0	3	3	3	6.122544e-03	1	2.200000e-02	3.894271e-03	1
37	NT5DC1	5'-nucleotidase domain containing 1	3453	70	0	0	1	0	1	0	2	2	2	4.718106e-02	1	1.000000e-02	4.085377e-03	1
38	ARHGAP22	Rho GTPase activating protein 22	2133	76	0	0	4	0	0	0	4	4	4	9.428913e-03	1	2.900000e-02	4.226654e-03	1
