rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	PBRM1	polybromo 1	5417	23	0	0	0	6	0	2	8	8	8	2.565085e-13	1	7.510000e-01	7.693068e-12	1.408139e-07
2	HLA-B	major histocompatibility complex, class I, B	1119	555	0	0	5	0	0	0	5	5	3	3.992555e-07	1.800000e-03	9.749500e-01	1.961087e-08	1.794787e-04
3	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	14968	3	0	0	2	4	1	0	7	7	4	3.658186e-05	4.000000e-05	9.905300e-01	5.321959e-08	3.247105e-04
4	FTH1	ferritin, heavy polypeptide 1	564	108	0	0	3	0	0	0	3	3	1	1.969662e-04	1.000000e-03	7.843333e-02	3.238170e-06	1.481786e-02
5	TP53	tumor protein p53	1889	60	0	0	4	0	0	2	6	5	6	3.993440e-07	1	3.630000e-01	6.283056e-06	2.300101e-02
6	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	29	0	1	1	0	0	5	6	5	6	2.544106e-05	1	2.500000e-02	1.750160e-05	4.711993e-02
7	DDHD1	DDHD domain containing 1	2776	22	0	0	4	0	0	0	4	4	1	1.233794e-02	1.000000e-04	9.989100e-01	1.802008e-05	4.711993e-02
8	MUC2	mucin 2, oligomeric mucus/gel-forming	8640	122	0	2	8	0	0	0	8	7	7	7.694550e-05	3.400000e-02	6.200000e-01	3.821724e-05	7.647934e-02
9	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	1277	1000	0	0	4	0	0	0	4	4	1	4.312723e-04	6.600000e-03	9.442000e-01	3.919335e-05	7.647934e-02
10	MUC21	mucin 21, cell surface associated	1709	429	0	0	3	0	0	0	3	3	2	3.351365e-04	7.100000e-03	8.208000e-01	4.178286e-05	7.647934e-02
11	CLIP4	CAP-GLY domain containing linker protein family, member 4	2178	128	0	0	2	1	0	1	4	4	4	4.056837e-06	1	8.040000e-01	5.442290e-05	8.771354e-02
