rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1891	0	0	4	184	51	31	37	303	287	173	1.066468e-14	2.990000e-03	1.000000e-05	1.000000e-16	6.087667e-13
2	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	13	0	0	164	1	0	0	165	161	11	1.236240e-15	1.000000e-05	1.000000e-05	1.000000e-16	6.087667e-13
3	KEAP1	kelch-like ECH-associated protein 1	1895	21	0	2	71	7	4	10	92	91	82	1.000000e-16	1.641700e-01	1.000000e-05	1.000000e-16	6.087667e-13
4	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	3999	4	0	3	51	1	4	29	85	71	38	4.541980e-13	1.000000e-05	4.400000e-04	2.220446e-16	1.013800e-12
5	STK11	serine/threonine kinase 11	1338	3	0	2	26	19	11	27	83	77	68	1.000000e-16	4.330000e-01	8.900000e-02	8.881784e-16	2.703467e-12
6	RBM10	RNA binding motif protein 10	2882	10	0	2	7	12	9	7	35	33	33	1.043933e-15	1.786000e-01	6.200000e-03	8.881784e-16	2.703467e-12
7	RB1	retinoblastoma 1 (including osteosarcoma)	3711	3	0	1	5	9	8	11	33	32	32	1.971539e-16	3.380000e-01	8.600000e-01	3.996803e-15	1.042766e-11
8	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	3	0	3	16	15	2	4	37	33	36	4.452597e-14	5.090000e-01	6.700000e-02	3.271827e-13	7.469173e-10
9	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	12120	4	0	7	30	10	10	17	67	60	65	2.302016e-13	9.500000e-02	3.070000e-01	6.153966e-13	1.248777e-09
10	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	5189	14	0	5	25	11	5	3	44	41	43	6.409373e-13	6.800000e-02	2.280000e-01	7.878143e-13	1.438785e-09
11	BRAF	v-raf murine sarcoma viral oncogene homolog B1	2371	25	0	1	34	2	6	1	43	39	22	4.852954e-08	1.000000e-05	6.670000e-03	1.424538e-11	2.365122e-08
12	MGA	MAX gene associated	9290	2	0	6	20	18	2	7	47	41	47	1.240155e-11	1	9.430000e-01	3.238442e-10	4.928638e-07
13	FTSJD1	FtsJ methyltransferase domain containing 1	2317	0	0	0	11	12	0	5	28	28	26	4.663992e-10	2.500000e-01	5.300000e-02	4.449281e-10	6.250555e-07
14	MET	met proto-oncogene (hepatocyte growth factor receptor)	4307	18	0	6	12	1	6	3	22	22	19	1.063556e-05	3.000000e-05	2.471000e-02	2.548731e-09	3.324820e-06
15	GAGE2A	G antigen 2A	1486	3	0	0	3	0	0	6	9	9	3	1.315406e-05	1.000000e-05	9.857500e-01	3.124313e-09	3.803955e-06
16	SETD2	SET domain containing 2	7777	3	0	2	19	12	2	8	41	34	41	3.945587e-08	1	5.700000e-03	2.234034e-08	2.550011e-05
17	U2AF1	U2 small nuclear RNA auxiliary factor 1	824	6	1	1	11	0	0	0	11	11	2	1.534985e-04	1.000000e-05	4.000000e-05	3.268711e-08	3.511557e-05
18	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	3889	5	0	3	3	0	2	7	12	12	8	1.904394e-03	2.000000e-05	3.877300e-01	1.634644e-06	1.658528e-03
19	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1002	1	0	3	15	1	2	3	21	20	17	1.793004e-02	1.760000e-02	1.000000e-05	2.964589e-06	2.849594e-03
20	SRPX	sushi-repeat-containing protein, X-linked	1431	6	0	1	7	0	0	7	14	14	9	4.081754e-05	2.500000e-03	9.784000e-01	3.158991e-06	2.884633e-03
21	ATM	ataxia telangiectasia mutated	9438	0	0	2	34	10	3	8	55	46	53	2.534830e-06	1.590000e-01	4.500000e-02	3.522885e-06	3.063735e-03
22	TCEAL5	transcription elongation factor A (SII)-like 5	625	21	0	1	12	1	0	2	15	14	14	3.608216e-06	1.050000e-01	8.780000e-01	8.506986e-06	7.061959e-03
23	PPP3CA	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform	1618	0	0	0	10	1	1	2	14	14	11	4.477039e-03	2.000000e-05	7.229000e-01	8.937871e-06	7.097058e-03
24	FCRLA	Fc receptor-like A	1169	2	0	3	9	0	5	1	15	15	14	3.741903e-06	1.540000e-01	9.410000e-01	1.287995e-05	9.699688e-03
