rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	FAM18B2	family with sequence similarity 18, member B2	1003	303	0	0	26	0	0	0	26	26	1	1.079069e-15	1.000000e-05	6.442600e-01	1.000000e-16	6.093000e-13
2	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	3013	130	0	0	24	0	2	1	27	26	13	1.108300e-15	1.000000e-05	1.000000e-05	1.000000e-16	6.093000e-13
3	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	122	0	0	19	0	0	0	19	19	7	1.000000e-16	1.000000e-05	3.040000e-03	1.000000e-16	6.093000e-13
4	FAM104B	family with sequence similarity 104, member B	500	31	0	0	6	5	0	0	11	7	3	1.007736e-08	1.000000e-05	3.878000e-01	3.116507e-12	1.424166e-08
5	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2	1653	26	0	0	2	3	0	0	5	5	2	3.314191e-07	9.000000e-05	6.307800e-01	9.921853e-10	3.187994e-06
6	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	941	1000	0	0	7	0	0	0	7	7	4	4.227071e-06	7.000000e-05	8.627000e-02	1.051988e-09	3.187994e-06
7	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)	3022	62	0	1	5	0	0	3	8	8	4	4.936364e-06	1.000000e-05	9.047400e-01	1.220852e-09	3.187994e-06
8	MUC6	mucin 6, oligomeric mucus/gel-forming	7450	34	0	3	15	0	0	0	15	15	11	3.122096e-05	1.000000e-05	7.616600e-01	7.145650e-09	1.632692e-05
9	PNPLA4	patatin-like phospholipase domain containing 4	786	541	0	0	5	0	0	0	5	5	1	1.581358e-04	3.000000e-05	5.383000e-02	3.362755e-08	6.829756e-05
10	SERINC2	serine incorporator 2	1404	20	0	0	3	0	1	0	4	4	2	3.600357e-05	1.000000e-04	9.520300e-01	7.359933e-08	1.345322e-04
11	RHPN2	rhophilin, Rho GTPase binding protein 2	2119	20	0	1	6	0	0	0	6	6	3	1.274026e-03	1.000000e-04	1.401000e-02	2.443390e-07	4.060249e-04
12	RBM10	RNA binding motif protein 10	2882	18	0	1	4	0	0	1	5	5	3	1.232636e-04	1.777778e-04	9.998000e-01	5.519328e-07	8.407316e-04
13	HSF4	heat shock transcription factor 4	1587	29	0	0	6	0	0	0	6	6	5	5.177940e-07	5.900000e-02	7.940000e-01	6.926665e-07	9.739423e-04
14	CDC27	cell division cycle 27 homolog (S. cerevisiae)	2565	325	0	1	2	3	1	0	6	6	4	1.327432e-06	3.300000e-02	5.200000e-01	8.979976e-07	1.172464e-03
15	MLLT3	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	1747	56	0	1	1	0	0	3	4	4	2	1.359653e-03	1.000000e-04	9.450700e-01	2.285695e-06	2.785348e-03
16	ERC1	ELKS/RAB6-interacting/CAST family member 1	3419	7	0	0	7	0	0	0	7	7	3	2.403945e-02	1.000000e-05	4.310000e-03	3.904244e-06	4.460355e-03
17	MEF2A	myocyte enhancer factor 2A	1696	53	0	1	3	0	0	0	3	3	1	6.026592e-05	1.280000e-02	6.860000e-02	6.437095e-06	6.921392e-03
18	SP8	Sp8 transcription factor	1533	29	0	0	6	0	0	0	6	6	1	3.797128e-04	8.500000e-04	9.806000e-01	1.146027e-05	1.163790e-02
