rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1889	5	0	3	49	8	12	20	89	84	75	6.821332e-16	3.230000e-03	1.000000e-05	1.000000e-16	1.826300e-12
2	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	7615	2	0	0	8	14	3	15	40	37	40	1.000000e-16	1	2.270000e-01	1.443290e-15	1.317940e-11
3	RB1	retinoblastoma 1 (including osteosarcoma)	3704	12	0	0	2	8	6	11	27	24	27	1.000000e-16	1	3.480000e-01	2.331468e-15	1.419320e-11
4	NUMBL	numb homolog (Drosophila)-like	1866	426	0	0	0	0	0	9	9	9	1	4.087200e-09	1.000000e-05	9.734400e-01	1.300848e-12	5.939348e-09
5	MSH3	mutS homolog 3 (E. coli)	3543	8	0	2	0	0	0	9	9	7	5	5.978966e-09	1.000000e-05	9.985500e-01	1.880274e-12	6.867888e-09
6	EOMES	eomesodermin homolog (Xenopus laevis)	2081	117	0	0	1	0	0	5	6	6	2	3.475787e-05	1.000000e-05	9.999800e-01	7.917854e-09	2.410063e-05
7	PKD2	polycystic kidney disease 2 (autosomal dominant)	2965	2	0	0	2	0	0	4	6	6	3	3.510126e-06	1.500000e-04	5.901000e-01	1.771061e-08	4.620698e-05
8	LTBP3	latent transforming growth factor beta binding protein 3	4020	2	0	0	0	0	0	5	5	5	2	1.146931e-04	1.000000e-05	8.459500e-01	2.475785e-08	5.651907e-05
9	SHROOM4	shroom family member 4	4516	6	0	1	0	0	0	8	8	8	3	1.399160e-04	1.000000e-05	1	2.992438e-08	6.072322e-05
10	WNK1	WNK lysine deficient protein kinase 1	8759	13	0	2	1	0	0	5	6	6	2	6.439573e-03	1.000000e-05	3.000000e-05	1.130674e-06	2.064950e-03
11	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	831	595	0	0	0	0	0	4	4	4	1	7.995117e-04	1.000000e-04	9.983900e-01	1.386501e-06	2.301970e-03
12	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	660	0	0	6	0	0	2	8	7	8	5.486603e-06	1	4.900000e-02	1.002960e-05	1.526421e-02
13	KRTAP5-5	keratin associated protein 5-5	716	24	0	1	3	0	0	6	9	7	8	8.302266e-06	1.610000e-01	6.490000e-01	2.397936e-05	3.368731e-02
14	TRAF7	TNF receptor-associated factor 7	2113	104	0	0	2	0	0	2	4	4	3	6.642096e-04	2.050000e-02	3.960000e-02	3.161839e-05	4.124620e-02
15	MEGF9	multiple EGF-like-domains 9	1948	96	0	0	0	0	0	3	3	3	1	2.713047e-03	1.000000e-03	9.806600e-01	3.748736e-05	4.531871e-02
16	LOR	loricrin	943	0	0	2	0	0	0	6	6	6	2	3.092514e-03	5.333333e-04	1	3.970319e-05	4.531871e-02
17	CABLES1	Cdk5 and Abl enzyme substrate 1	1992	206	0	0	0	0	0	3	3	3	1	5.237138e-03	1.000000e-03	8.332000e-01	6.891935e-05	7.403966e-02
18	COL18A1	collagen, type XVIII, alpha 1	5536	11	0	2	5	0	1	2	8	7	8	1.085455e-04	3.900000e-02	3.860000e-01	7.385569e-05	7.493481e-02
19	LHCGR	luteinizing hormone/choriogonadotropin receptor	2144	44	0	0	1	1	0	4	6	6	4	3.258936e-02	1.100000e-04	9.996400e-01	8.434754e-05	8.107574e-02
20	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	12119	1	0	1	4	1	1	5	11	10	11	5.808709e-04	1.700000e-02	8.790000e-01	1.236871e-04	1.129449e-01
21	FOXD2	forkhead box D2	1488	1000	0	0	0	0	0	3	3	3	1	1.203741e-02	1.000000e-03	9.997600e-01	1.483911e-04	1.290508e-01
22	CCNL2	cyclin L2	1680	1	0	0	0	0	0	2	2	2	1	1.307311e-03	1.000000e-02	5.366000e-01	1.600796e-04	1.328879e-01
23	MMP17	matrix metallopeptidase 17 (membrane-inserted)	1850	63	0	0	1	0	0	2	3	3	2	1.234071e-03	1.570000e-02	9.935000e-01	2.296223e-04	1.823301e-01
24	ASTE1	asteroid homolog 1 (Drosophila)	2150	22	0	1	0	0	0	3	3	3	1	2.584579e-02	1.000000e-03	8.869000e-01	2.988642e-04	2.274232e-01
