rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	ZFPM1	zinc finger protein, multitype 1	3059	28	0	0	3	0	1	35	39	24	6	1.342064e-16	1.000000e-05	1	1.000000e-16	3.660800e-13
2	LACTB	lactamase, beta	1668	100	0	0	18	0	0	1	19	19	2	9.202959e-16	1.000000e-05	1	1.000000e-16	3.660800e-13
3	CCDC102A	coiled-coil domain containing 102A	1681	177	0	0	17	0	0	0	17	17	1	3.106974e-16	1.000000e-05	8.045700e-01	1.000000e-16	3.660800e-13
4	ZNF517	zinc finger protein 517	1495	326	0	0	14	0	0	0	14	13	2	2.313492e-14	1.000000e-05	9.854200e-01	1.000000e-16	3.660800e-13
5	MAL2	mal, T-cell differentiation protein 2	546	2	0	1	0	0	1	11	12	11	2	1.351305e-15	1.000000e-05	2.380300e-01	1.000000e-16	3.660800e-13
6	TOR3A	torsin family 3, member A	1214	169	0	0	12	0	0	0	12	12	1	1.782868e-12	1.000000e-05	1	6.661338e-16	2.032152e-12
7	TP53	tumor protein p53	1889	7	0	0	5	3	3	4	15	13	15	1.000000e-16	7.840000e-01	1.330000e-01	9.992007e-16	2.612767e-12
8	CLDN23	claudin 23	879	36	0	0	10	0	0	0	10	10	1	1.043522e-08	1.000000e-05	9.911300e-01	3.223533e-12	7.375442e-09
9	GDF1	growth differentiation factor 1	1146	63	0	0	5	0	0	0	5	5	1	2.056761e-08	1.000000e-05	8.541000e-01	6.214029e-12	1.263795e-08
10	LZTR1	leucine-zipper-like transcription regulator 1	2621	12	0	0	0	0	0	6	6	6	1	4.160751e-08	1.000000e-05	2.000000e-05	1.227751e-11	2.247276e-08
11	ANKRD43	ankyrin repeat domain 43	1650	2	0	0	19	0	0	0	19	19	1	7.582567e-09	1.000000e-05	9.996900e-01	2.613754e-11	4.349286e-08
12	KCNK17	potassium channel, subfamily K, member 17	1296	191	0	0	9	0	0	0	9	9	2	1.400215e-07	1.000000e-05	9.692500e-01	3.961820e-11	6.043096e-08
13	RINL	Ras and Rab interactor-like	1569	72	0	0	8	0	0	0	8	8	1	3.107631e-07	1.000000e-05	4.515800e-01	8.545098e-11	1.203150e-07
14	ZAR1	zygote arrest 1	1378	5	0	0	11	0	0	0	11	11	2	5.443740e-07	1.000000e-05	1	1.466356e-10	1.917156e-07
15	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	2406	53	0	0	6	0	0	2	8	8	5	2.885008e-07	3.000000e-05	5.441200e-01	2.291234e-10	2.795916e-07
16	APOE	apolipoprotein E	969	130	0	0	8	0	0	0	8	7	2	3.079325e-07	1.000000e-05	8.486400e-01	3.987244e-10	4.561407e-07
17	GPRIN2	G protein regulated inducer of neurite outgrowth 2	1381	174	0	1	8	0	0	0	8	8	1	1.895532e-08	5.333333e-04	6.134000e-01	6.573952e-10	6.487299e-07
18	ASPDH	aspartate dehydrogenase domain containing	913	40	0	0	8	0	0	0	8	8	2	3.188273e-08	3.400000e-04	9.955400e-01	6.632015e-10	6.487299e-07
19	ERCC2	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)	2430	33	0	0	10	0	0	0	10	10	1	2.656241e-06	1.000000e-05	2.190000e-03	6.733976e-10	6.487299e-07
20	IDUA	iduronidase, alpha-L-	2072	88	0	1	8	0	0	0	8	8	2	3.575859e-06	1.000000e-05	1.600000e-04	8.959039e-10	8.199313e-07
21	C1orf106	chromosome 1 open reading frame 106	2030	27	0	0	9	0	0	0	9	9	2	2.287964e-07	2.500000e-04	9.972667e-01	2.382897e-09	1.983662e-06
