rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1890	25	0	1	96	20	17	17	150	145	97	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	9.134000e-13
2	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1002	1	0	1	11	8	3	4	26	26	23	2.148796e-15	4.313400e-01	1.000000e-05	1.000000e-16	9.134000e-13
3	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	1834	18	0	0	27	0	0	1	28	27	15	8.667808e-13	1.000000e-05	1.000000e-05	3.330669e-16	2.028155e-12
4	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	16826	1	0	4	21	12	6	3	42	36	42	1.337972e-13	1	4.130000e-01	2.774780e-12	1.267242e-08
5	KEAP1	kelch-like ECH-associated protein 1	1895	30	0	0	22	1	0	1	24	22	21	5.585059e-12	6.400000e-02	1.890000e-01	9.960699e-12	3.639241e-08
6	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	34	0	0	8	6	0	2	16	14	15	6.343316e-12	8.700000e-02	4.780000e-01	2.517941e-11	7.666292e-08
7	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	16	0	1	28	0	1	0	29	27	16	5.671957e-06	1.000000e-05	3.670000e-03	1.394899e-09	3.640287e-06
8	RB1	retinoblastoma 1 (including osteosarcoma)	3713	14	0	0	2	2	5	3	12	12	12	2.887060e-10	1	7.660000e-01	6.630311e-09	1.514031e-05
9	CYP11B1	cytochrome P450, family 11, subfamily B, polypeptide 1	1546	24	0	0	15	0	0	0	15	15	15	7.020283e-08	1	9.340000e-01	1.226575e-06	2.489675e-03
10	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	7800	16	0	3	8	6	1	1	16	14	16	2.178965e-06	1	8.200000e-03	1.648748e-06	3.011933e-03
11	ASB5	ankyrin repeat and SOCS box-containing 5	1016	14	0	0	8	0	1	0	9	9	9	3.762607e-05	1	7.900000e-03	1.008405e-05	1.674686e-02
12	IRF6	interferon regulatory factor 6	1432	18	0	0	3	2	1	0	6	6	6	1.676707e-05	6.600000e-02	9.470000e-01	1.879795e-05	2.861675e-02
13	EP300	E1A binding protein p300	7365	7	0	2	8	0	1	0	9	8	8	1.682622e-01	1.200000e-04	1.862800e-01	2.405335e-05	3.380051e-02
14	CPS1	carbamoyl-phosphate synthetase 1, mitochondrial	4748	23	1	2	26	0	2	0	28	24	27	7.630092e-06	2.730000e-01	7.520000e-01	3.261162e-05	4.255351e-02
15	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	1	0	2	7	1	2	4	14	13	14	5.157965e-06	1	9.340000e-01	6.795603e-05	8.276138e-02
16	SLC28A1	solute carrier family 28 (sodium-coupled nucleoside transporter), member 1	2087	29	0	1	5	1	3	0	9	9	9	6.387077e-05	1	3.300000e-02	8.583525e-05	9.800240e-02
17	POLR2B	polymerase (RNA) II (DNA directed) polypeptide B, 140kDa	4561	26	0	0	3	1	2	0	6	6	6	1.132710e-05	1	9.720000e-01	1.403237e-04	1.507902e-01
18	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	659	570	0	0	5	0	0	0	5	5	4	5.343604e-02	1.571429e-03	4.290000e-02	1.503896e-04	1.526287e-01
19	PI16	peptidase inhibitor 16	1416	89	0	1	5	1	1	0	7	7	7	1.764560e-04	1	7.300000e-02	3.405653e-04	3.274446e-01
20	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	3999	35	0	1	6	0	1	0	7	6	6	3.357872e-01	1.158000e-02	4.040000e-03	3.794938e-04	3.346363e-01
21	TAF2	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa	3810	7	0	1	7	2	1	0	10	9	10	6.682875e-05	1	3.740000e-01	3.846815e-04	3.346363e-01
22	PDZD7	PDZ domain containing 7	1586	18	0	0	3	0	1	0	4	4	3	1.528029e-03	2.300000e-02	1.360000e-01	4.112284e-04	3.414691e-01
23	HLA-A	major histocompatibility complex, class I, A	1128	217	0	0	1	4	2	0	7	6	7	3.247262e-03	1	3.800000e-03	4.510435e-04	3.582462e-01
24	SGK223		4225	2	0	0	3	0	1	2	6	6	6	1.034270e-04	1	4.320000e-01	5.231713e-04	3.933856e-01
25	FAT1	FAT tumor suppressor homolog 1 (Drosophila)	13871	23	0	8	13	11	1	0	25	21	24	2.490928e-04	1.860000e-01	8.660000e-01	5.483103e-04	3.933856e-01
26	REG1B	regenerating islet-derived 1 beta (pancreatic stone protein, pancreatic thread protein)	521	6	0	1	8	2	1	0	11	11	9	6.686737e-03	3.400000e-03	2.376000e-01	5.598876e-04	3.933856e-01
27	AKAP11	A kinase (PRKA) anchor protein 11	5750	0	0	0	3	2	2	0	7	7	7	5.492431e-05	1	8.190000e-01	5.937073e-04	3.956617e-01
28	IBTK	inhibitor of Bruton agammaglobulinemia tyrosine kinase	4170	3	0	0	3	1	2	0	6	5	6	1.394355e-02	1.260000e-02	1.691000e-01	6.156773e-04	3.956617e-01
29	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	2826	0	0	0	4	2	1	0	7	7	6	2.656451e-03	3.700000e-02	3.970000e-01	6.281032e-04	3.956617e-01
30	ABI3BP	ABI gene family, member 3 (NESH) binding protein	3366	13	0	1	5	3	2	0	10	9	10	2.982792e-04	1	8.100000e-02	6.717493e-04	4.090506e-01
31	MUC5B	mucin 5B, oligomeric mucus/gel-forming	17492	36	0	8	29	2	2	1	34	29	34	8.458565e-05	1	5.590000e-01	8.778083e-04	5.172840e-01
32	CCDC83	coiled-coil domain containing 83	1379	13	0	0	5	1	1	0	7	6	7	1.924603e-04	1	4.340000e-01	1.123967e-03	6.416449e-01
33	KDM6A	lysine (K)-specific demethylase 6A	4318	7	0	0	1	2	4	0	7	7	7	1.309889e-03	1.640000e-01	2.370000e-01	1.302082e-03	7.065264e-01
34	COL7A1	collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)	9304	10	0	2	8	3	1	1	13	13	13	9.260944e-04	1	1.050000e-01	1.314971e-03	7.065264e-01
35	CUL3	cullin 3	2367	69	0	1	6	2	4	0	12	11	12	7.031644e-04	1.830000e-01	8.710000e-01	1.431527e-03	7.471755e-01
36	OR10A4	olfactory receptor, family 10, subfamily A, member 4	952	34	0	1	8	0	0	0	8	8	8	5.889866e-04	1	1.540000e-01	1.534477e-03	7.745830e-01
37	ITPR1	inositol 1,4,5-triphosphate receptor, type 1	8517	7	0	1	5	0	1	0	6	6	5	4.038654e-01	9.360000e-03	1.760000e-02	1.571960e-03	7.745830e-01
38	TMPRSS7	transmembrane protease, serine 7	2214	19	0	0	3	1	1	0	5	5	5	2.635753e-03	1	4.500000e-02	1.611241e-03	7.745830e-01
39	HNRNPUL2	heterogeneous nuclear ribonucleoprotein U-like 2	2326	138	0	1	2	1	0	0	3	3	3	1.332153e-01	1.450000e-03	7.605500e-01	1.958557e-03	8.957904e-01
40	TYK2	tyrosine kinase 2	3656	12	0	1	7	0	1	0	8	8	8	9.802067e-04	1	1.520000e-01	1.961442e-03	8.957904e-01
41	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	2271	25	0	2	8	1	0	1	10	10	10	2.707637e-03	7.000000e-02	6.040000e-01	2.067074e-03	9.210076e-01
42	VIM	vimentin	1433	32	0	1	6	0	1	0	7	7	7	2.320304e-04	1	9.410000e-01	2.173810e-03	9.276781e-01
43	C15orf42	chromosome 15 open reading frame 42	5817	3	0	0	5	0	1	0	6	6	6	5.658542e-03	1	1.900000e-02	2.267996e-03	9.276781e-01
44	ARHGAP35	glucocorticoid receptor DNA binding factor 1	4520	44	0	1	8	3	0	1	12	10	12	2.526233e-04	1	7.830000e-01	2.345257e-03	9.276781e-01
45	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3	2819	5	0	0	6	0	1	0	7	7	7	9.706267e-03	2.600000e-02	8.140000e-01	2.423328e-03	9.276781e-01
46	CLSTN2	calsyntenin 2	2932	29	0	2	9	4	2	0	15	15	15	3.014468e-03	1	1.800000e-02	2.499310e-03	9.276781e-01
47	STK11	serine/threonine kinase 11	1338	3	0	1	0	0	0	3	3	3	2	7.844556e-03	3.200000e-02	9.370000e-01	2.526041e-03	9.276781e-01
48	APLNR	apelin receptor	1143	50	0	0	3	2	0	1	6	6	6	2.839107e-04	1	5.950000e-01	2.602567e-03	9.276781e-01
49	NSD1	nuclear receptor binding SET domain protein 1	8179	1	0	1	6	3	1	0	10	10	10	1.372365e-03	1	1.530000e-01	2.603946e-03	9.276781e-01
50	ASXL1	additional sex combs like 1 (Drosophila)	4678	17	0	4	8	1	1	0	10	9	10	5.016566e-04	1	4.670000e-01	2.619167e-03	9.276781e-01
51	BRSK1	BR serine/threonine kinase 1	2409	64	0	0	3	0	3	0	6	6	5	3.312508e-03	8.500000e-02	9.120000e-01	2.637469e-03	9.276781e-01
52	KCNG4	potassium voltage-gated channel, subfamily G, member 4	1566	62	0	2	5	2	0	0	7	7	6	2.837732e-03	1.500000e-01	4.830000e-01	2.670847e-03	9.276781e-01
53	BRCA1	breast cancer 1, early onset	5750	6	0	1	9	2	1	0	12	10	12	1.889848e-03	1	9.900000e-02	2.691424e-03	9.276781e-01
54	NOTUM	notum pectinacetylesterase homolog (Drosophila)	1531	22	0	1	4	1	1	0	6	6	6	3.012593e-04	1	9.330000e-01	2.743731e-03	9.281940e-01
55	DUSP9	dual specificity phosphatase 9	1167	3	0	0	0	2	0	0	2	2	1	5.078979e-03	7.000000e-02	3.200000e-01	3.179102e-03	1
56	ALPK2	alpha-kinase 2	6561	4	0	2	13	3	1	1	18	18	17	3.193878e-03	1.090000e-01	8.580000e-01	3.247090e-03	1
57	CSRNP3	cysteine-serine-rich nuclear protein 3	1774	7	0	1	5	0	0	1	6	6	6	8.979812e-02	1	7.000000e-04	3.255616e-03	1
58	MMD2	monocyte to macrophage differentiation-associated 2	837	74	0	0	4	0	0	0	4	4	4	7.013940e-03	1	2.000000e-02	3.418000e-03	1
59	TET1	tet oncogene 1	6451	16	0	2	12	0	1	0	13	11	12	3.093573e-02	1.426000e-01	2.260000e-02	3.473877e-03	1
60	RNF213	ring finger protein 213	16205	10	0	6	14	2	0	0	16	15	14	2.683668e-01	1.100000e-03	9.937000e-01	3.549564e-03	1
61	IFNA10	interferon, alpha 10	572	7	0	1	3	0	0	0	3	2	2	4.031648e-01	1.000000e-03	5.709600e-01	3.554367e-03	1
62	KIAA1549	KIAA1549	5931	60	0	5	13	1	1	0	15	15	15	1.424639e-03	1	2.040000e-01	3.698769e-03	1
