rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1890	3	0	0	67	16	5	12	100	100	72	1.829321e-15	2.770000e-03	1.000000e-05	1.000000e-16	1.267111e-13
2	RBM4	RNA binding motif protein 4	1107	19	0	0	0	0	0	62	62	62	1	1.000000e-16	1.000000e-05	1	1.000000e-16	1.267111e-13
3	JMY	junction mediating and regulatory protein, p53 cofactor	3007	2	0	0	0	2	0	54	56	55	3	1.000000e-16	1.000000e-05	9.723800e-01	1.000000e-16	1.267111e-13
4	RIOK1	RIO kinase 1 (yeast)	1771	22	0	0	1	0	0	54	55	55	2	1.000000e-16	1.000000e-05	9.999600e-01	1.000000e-16	1.267111e-13
5	LCE2A	late cornified envelope 2A	325	357	0	0	0	0	0	46	46	46	1	1.000000e-16	1.000000e-05	1	1.000000e-16	1.267111e-13
6	C1QB	complement component 1, q subcomponent, B chain	770	74	0	0	0	0	1	34	35	35	2	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	1.267111e-13
7	SMAD4	SMAD family member 4	1699	35	0	0	14	9	0	9	32	32	29	1.000000e-16	8.100000e-03	1.063000e-01	1.000000e-16	1.267111e-13
8	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1002	1	0	1	9	12	0	10	31	30	19	1.000000e-16	7.800000e-04	1.000000e-05	1.000000e-16	1.267111e-13
9	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	16826	2	0	2	10	1	1	24	36	29	15	1.000000e-16	1.000000e-05	9.959700e-01	1.000000e-16	1.267111e-13
10	AEBP1	AE binding protein 1	3557	25	0	1	2	2	0	26	30	26	5	2.178656e-16	1.000000e-05	1	1.000000e-16	1.267111e-13
11	RBM47	RNA binding motif protein 47	1798	45	0	2	2	0	0	25	27	25	3	1.000000e-16	1.000000e-05	9.664300e-01	1.000000e-16	1.267111e-13
12	ANKRD36	ankyrin repeat domain 36	6126	28	0	0	0	1	0	23	24	24	3	1.008229e-16	1.000000e-05	4.100000e-03	1.000000e-16	1.267111e-13
13	RFX1	regulatory factor X, 1 (influences HLA class II expression)	3020	62	0	2	1	0	0	23	24	24	3	1.000000e-16	1.000000e-05	9.984700e-01	1.000000e-16	1.267111e-13
14	TYRO3	TYRO3 protein tyrosine kinase	2745	3	0	0	0	0	0	14	14	14	5	1.111996e-13	1.000000e-05	3.466000e-02	1.000000e-16	1.267111e-13
15	NCOA3	nuclear receptor coactivator 3	4389	16	0	1	2	0	2	13	17	14	7	3.985454e-13	1.000000e-05	1	1.110223e-16	1.267111e-13
16	GPR6	G protein-coupled receptor 6	1091	29	0	0	1	0	0	11	12	12	3	1.810941e-13	1.000000e-05	8.815300e-01	1.110223e-16	1.267111e-13
17	LZTS1	leucine zipper, putative tumor suppressor 1	1799	2	0	2	2	0	0	8	10	10	3	1.003944e-12	1.000000e-05	9.434600e-01	4.440892e-16	4.770302e-13
18	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	1	1	1	126	0	0	0	126	123	4	8.632146e-10	1.000000e-05	1.000000e-05	2.882139e-13	2.923930e-10
