rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1890	386	0	0	42	4	5	5	56	51	44	1.000000e-16	3.500000e-04	1.000000e-05	1.000000e-16	9.135500e-13
2	FBXW7	F-box and WD repeat domain containing 7	2580	102	0	0	22	2	0	0	24	22	15	1.000000e-16	4.000000e-05	7.710000e-03	1.000000e-16	9.135500e-13
3	PPP2R1A	protein phosphatase 2 (formerly 2A), regulatory subunit A , alpha isoform	1826	280	0	0	17	0	0	0	17	16	10	2.818233e-10	1.000000e-05	3.348000e-02	9.725554e-14	5.923186e-10
4	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	122	0	0	7	0	0	0	7	7	2	3.837291e-09	1.000000e-05	7.877000e-02	1.223799e-12	5.438783e-09
5	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	34	0	0	9	4	1	2	16	11	15	6.757978e-14	5.420000e-01	8.510000e-01	1.488365e-12	5.438783e-09
6	RB1	retinoblastoma 1 (including osteosarcoma)	3705	84	0	0	1	4	1	1	7	6	7	2.364340e-10	1	7.580000e-01	5.477077e-09	1.667861e-05
7	ZBTB7B	zinc finger and BTB domain containing 7B	1628	86	0	0	4	1	0	2	7	6	7	5.173203e-08	1	8.900000e-02	1.526688e-07	3.984874e-04
8	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	2361	231	0	0	1	0	0	7	8	6	8	2.518582e-07	1	5.220000e-01	4.078693e-06	9.315224e-03
9	ARHGAP35	glucocorticoid receptor DNA binding factor 1	4520	23	0	0	1	1	0	4	6	6	6	9.219387e-07	1	7.400000e-01	1.373393e-05	2.788139e-02
10	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	2	0	0	22	0	0	0	22	20	13	1.769122e-01	1.000000e-05	7.170000e-03	2.520120e-05	4.604511e-02
11	MAMLD1	mastermind-like domain containing 1	3467	30	0	0	3	0	0	1	4	4	3	9.110395e-04	9.800000e-03	6.640000e-01	1.020898e-04	1.695711e-01
12	U2AF1	U2 small nuclear RNA auxiliary factor 1	824	60	0	0	2	0	0	0	2	2	1	1.714921e-03	1.350000e-02	2.010000e-02	2.053371e-04	3.126428e-01
13	BCL2L11	BCL2-like 11 (apoptosis facilitator)	738	375	0	0	0	0	0	2	2	2	1	1.893901e-03	1.000000e-02	1.149000e-01	2.248872e-04	3.160704e-01
14	NET1	neuroepithelial cell transforming gene 1	1930	171	0	0	2	0	0	1	3	3	3	2.692893e-04	1	1.200000e-01	3.775686e-04	4.764576e-01
15	LZTFL1	leucine zipper transcription factor-like 1	936	34	0	0	0	0	2	0	2	2	2	3.471290e-05	1	8.330000e-01	3.911588e-04	4.764576e-01
16	RFC1	replication factor C (activator 1) 1, 145kDa	3540	17	0	0	1	1	0	1	3	3	3	1.701765e-04	1	2.260000e-01	4.518665e-04	5.160034e-01
17	YSK4	yeast Sps1/Ste20-related kinase 4 (S. cerevisiae)	4025	19	0	0	1	2	0	0	3	3	3	6.236762e-05	1	9.090000e-01	6.662399e-04	7.160511e-01
18	TBXAS1	thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)	1799	54	0	0	0	1	0	1	2	2	2	7.602750e-04	1	7.200000e-02	7.536997e-04	7.650470e-01
19	SPOP	speckle-type POZ protein	1161	205	0	0	5	0	0	0	5	4	5	8.334524e-05	1	1.280000e-01	8.661670e-04	8.329336e-01
20	ZC3H18	zinc finger CCCH-type containing 18	2930	133	0	0	1	2	0	0	3	3	3	9.378321e-05	1	9.710000e-01	9.635779e-04	8.483520e-01
21	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	5	0	0	4	3	0	2	9	7	9	9.502253e-05	1	8.940000e-01	9.750638e-04	8.483520e-01
22	MYOZ1	myozenin 1	920	138	0	0	0	0	0	2	2	2	2	1.117169e-02	1.000000e-02	9.060000e-01	1.128289e-03	9.370443e-01
23	MUC17	mucin 17, cell surface associated	13532	28	0	2	8	0	0	0	8	7	8	2.433570e-02	6.300000e-03	5.501000e-01	1.585076e-03	1
24	FAM92B	family with sequence similarity 92, member B	943	1000	0	0	2	0	1	0	3	3	3	4.023969e-03	1	2.300000e-02	1.671830e-03	1
25	LZTR1	leucine-zipper-like transcription regulator 1	2623	187	0	0	2	0	0	0	2	2	1	2.021640e-02	1.000000e-02	9.115000e-01	1.921858e-03	1
26	FER	fer (fps/fes related) tyrosine kinase	2543	143	0	0	0	2	0	0	2	2	1	1.692765e-02	1.500000e-02	2.870000e-01	2.355952e-03	1
27	TMUB2	transmembrane and ubiquitin-like domain containing 2	982	123	0	0	3	0	0	0	3	3	3	2.279778e-03	1	6.000000e-02	2.925083e-03	1
28	TTF1	transcription termination factor, RNA polymerase I	2758	4	0	0	0	1	0	1	2	2	2	4.976813e-04	1	6.570000e-01	3.276245e-03	1
29	SAMD4B	sterile alpha motif domain containing 4B	2129	120	0	1	2	0	0	0	2	2	1	1.712293e-02	2.300000e-02	9.660000e-01	3.481276e-03	1
30	MGAM	maltase-glucoamylase (alpha-glucosidase)	5762	134	0	1	6	1	0	0	7	6	7	4.069200e-04	1	5.920000e-01	3.583701e-03	1
31	CTCF	CCCTC-binding factor (zinc finger protein)	2224	15	0	0	1	1	0	1	3	3	3	8.964401e-04	1	4.570000e-01	3.626154e-03	1
