rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	APC	adenomatous polyposis coli	8592	2	0	25	50	107	4	30	191	108	136	1.649220e-15	1.000000e-05	9.969000e-01	1.000000e-16	1.829500e-12
2	CRIPAK	cysteine-rich PAK1 inhibitor	1341	42	0	1	6	0	0	7	13	11	8	1.083161e-11	1.000000e-05	3.377300e-01	4.107825e-15	3.757633e-11
3	TP53	tumor protein p53	1890	0	0	5	81	12	5	10	108	91	70	8.414680e-11	5.000000e-05	1.000000e-05	3.008704e-14	1.834808e-10
4	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	941	10	0	1	11	0	0	0	11	11	6	9.374029e-07	1.000000e-05	6.302000e-02	2.474094e-10	1.131589e-06
5	FMN2	formin 2	5237	35	0	3	4	0	0	11	15	14	8	1.650142e-06	1.000000e-05	9.994800e-01	4.261917e-10	1.559436e-06
6	SHROOM4	shroom family member 4	4516	2	0	1	3	0	0	6	9	7	4	1.530205e-05	1.000000e-05	1	3.611352e-09	1.101161e-05
7	RPTN	repetin	2363	182	0	1	0	0	0	5	5	5	1	9.439657e-05	1.000000e-05	3.248200e-01	2.056045e-08	5.373621e-05
8	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	80	0	2	5	5	1	2	13	11	13	2.632897e-07	1.530000e-01	5.300000e-02	1.256190e-07	2.872748e-04
9	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	2709	126	0	2	10	1	1	0	12	12	12	3.568552e-07	1	1.390000e-01	1.368744e-06	2.782352e-03
10	RBM10	RNA binding motif protein 10	2882	119	0	0	0	5	1	0	6	6	5	4.707743e-07	2.850000e-01	8.830000e-01	2.885075e-06	5.126039e-03
11	HAUS6	HAUS augmin-like complex, subunit 6	2932	27	0	0	1	1	3	0	5	5	4	1.437486e-04	1.033333e-03	1.430667e-01	3.082068e-06	5.126039e-03
12	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	2406	7	0	6	21	0	0	0	21	19	19	1.354485e-02	9.000000e-05	3.658300e-01	6.386151e-06	9.736220e-03
13	GABRP	gamma-aminobutyric acid (GABA) A receptor, pi	1359	7	0	0	2	2	0	0	4	4	3	7.978365e-05	8.900000e-03	6.266000e-01	1.076323e-05	1.514718e-02
14	PON3	paraoxonase 3	1101	11	0	1	3	0	1	0	4	4	2	7.893337e-03	1.000000e-04	8.194000e-02	1.188111e-05	1.552607e-02
15	RLIM	ring finger protein, LIM domain interacting	1887	34	0	0	4	0	0	0	4	4	2	1.559503e-02	1.000000e-04	8.228400e-01	2.241185e-05	2.733498e-02
16	SMAD2	SMAD family member 2	1444	224	0	0	6	0	0	0	6	6	5	5.766220e-05	9.170000e-02	6.100000e-02	3.021803e-05	3.455243e-02
17	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	2138	2	1	1	6	2	2	2	12	12	11	1.738689e-05	3.090000e-01	1.990000e-01	3.725556e-05	3.810437e-02
18	OXSM	3-oxoacyl-ACP synthase, mitochondrial	1390	81	0	0	3	0	0	1	4	4	3	3.617665e-03	1.130000e-02	5.760000e-02	3.748995e-05	3.810437e-02
19	PCBP1	poly(rC) binding protein 1	1071	173	0	0	5	0	0	0	5	5	4	4.642505e-04	4.300000e-02	9.220000e-02	4.548869e-05	4.058453e-02
20	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	0	1	3	61	0	1	1	63	63	14	3.434278e-01	1.000000e-05	2.754000e-02	4.664334e-05	4.058453e-02
21	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	4390	14	0	2	9	0	0	0	9	8	7	4.302142e-02	1.430000e-03	9.220000e-03	4.673689e-05	4.058453e-02
22	SLC12A6	solute carrier family 12 (potassium/chloride transporters), member 6	3669	15	0	1	3	2	1	0	6	6	5	4.242710e-03	2.165000e-02	9.050000e-03	4.880348e-05	4.058453e-02
23	AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	11920	43	0	4	8	1	0	0	9	7	7	4.785391e-01	3.000000e-05	4.877400e-01	6.340616e-05	5.043546e-02
24	VCX2	variable charge, X-linked 2	426	226	0	0	1	0	0	4	5	5	2	8.920110e-04	3.700000e-03	9.789000e-01	7.785959e-05	5.935172e-02
25	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	1148	88	0	0	0	1	0	3	4	4	4	1.774407e-05	1	3.650000e-01	1.037914e-04	7.595451e-02
26	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	0	0	16	53	2	1	0	56	37	47	8.838102e-01	1.000000e-05	4.560000e-03	1.116821e-04	7.858556e-02
27	BRAF	v-raf murine sarcoma viral oncogene homolog B1	2371	1	0	5	12	1	1	0	14	13	11	4.845162e-01	9.000000e-05	1.557000e-02	1.215591e-04	8.037777e-02
