rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	1277	247	0	0	398	0	0	0	398	398	2	1.000000e-16	1.000000e-05	1	1.000000e-16	2.894986e-13
2	TP53	tumor protein p53	1314	9	0	2	247	19	13	40	319	248	145	2.197227e-15	1.000000e-05	1.000000e-05	1.000000e-16	2.894986e-13
3	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	7615	14	0	7	32	47	20	120	219	195	187	1.000000e-16	4.000000e-05	2.303600e-01	1.000000e-16	2.894986e-13
4	CIC	capicua homolog (Drosophila)	4905	6	0	1	66	9	3	48	126	108	89	9.367465e-16	1.000000e-05	5.940700e-01	1.000000e-16	2.894986e-13
5	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	7800	28	0	3	25	2	4	24	55	42	43	1.000000e-16	1.000000e-05	1.841800e-01	1.000000e-16	2.894986e-13
6	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	1401	76	0	0	20	0	0	0	20	20	3	1.000000e-16	1.000000e-05	9.999600e-01	1.000000e-16	2.894986e-13
7	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	2361	7	0	2	7	1	1	15	24	22	18	2.755570e-14	4.000000e-05	7.368200e-01	1.110223e-16	2.894986e-13
8	FUBP1	far upstream element (FUSE) binding protein 1	2013	151	0	1	1	11	9	29	50	47	45	2.563890e-16	1.540000e-02	9.821000e-01	3.330669e-16	6.754967e-13
9	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	8807	12	0	2	11	11	8	21	51	33	47	1.000000e-16	6.100000e-02	9.070000e-01	3.330669e-16	6.754967e-13
10	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	37	0	2	8	7	1	10	26	20	26	1.000000e-16	1	8.880000e-01	3.774758e-15	6.890066e-12
11	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	290	0	0	15	3	2	4	24	24	22	4.287632e-15	1.950000e-01	7.790000e-01	4.396483e-14	7.295364e-11
12	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	3999	20	1	1	42	2	0	1	45	35	28	4.601110e-10	1.000000e-05	5.920000e-03	1.565414e-13	2.381126e-10
13	GAGE2A	G antigen 2A	1486	69	0	0	2	0	0	6	8	8	3	1.611032e-08	1.000000e-05	9.664400e-01	4.906631e-12	6.889287e-09
14	NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11	500	6	0	1	1	0	0	10	11	11	2	5.946506e-08	1.000000e-05	9.996300e-01	1.733458e-11	2.260058e-08
15	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	2	0	0	38	0	4	7	49	44	28	6.850204e-08	1.000000e-05	2.450000e-02	1.987199e-11	2.418157e-08
16	STK19	serine/threonine kinase 19	1186	240	0	0	3	0	0	8	11	10	4	2.871872e-07	1.000000e-05	5.550400e-01	7.919487e-11	9.034650e-08
17	EMG1	EMG1 nucleolar protein homolog (S. cerevisiae)	754	8	1	0	0	0	0	6	6	6	2	3.189020e-07	1.000000e-05	9.275200e-01	1.032549e-09	1.108654e-06
18	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	5189	10	1	5	22	0	0	6	28	26	25	2.696671e-08	1.800000e-03	2.917000e-01	1.898131e-09	1.924810e-06
