rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	13	0	6	338	0	6	7	351	316	53	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	4.567000e-13
2	TP53	tumor protein p53	1890	0	0	4	173	45	23	59	300	297	161	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	4.567000e-13
3	GATA3	GATA binding protein 3	1351	20	0	2	9	2	1	89	101	97	56	1.557174e-15	1.000000e-05	3.612500e-01	1.000000e-16	4.567000e-13
4	MAP3K1	mitogen-activated protein kinase kinase kinase 1	4615	7	0	1	16	14	4	64	98	71	88	1.000000e-16	2.000000e-05	9.287800e-01	1.000000e-16	4.567000e-13
5	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	2709	6	0	1	16	29	12	52	109	107	90	1.233779e-15	5.333333e-04	6.791000e-01	2.220446e-16	8.112622e-13
6	CBFB	core-binding factor, beta subunit	615	15	0	1	10	3	2	7	22	22	20	1.000000e-16	5.240000e-01	7.000000e-02	6.661338e-16	2.028155e-12
7	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	145	0	0	13	7	1	15	36	35	33	3.941723e-15	2.300000e-02	7.200000e-01	9.325873e-15	2.433787e-11
8	RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	1520	4	0	2	11	2	1	16	30	29	23	4.426512e-11	4.280000e-03	3.100000e-04	1.609823e-14	3.676032e-11
9	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	14968	1	0	6	28	23	2	30	83	70	82	2.548511e-15	6.380000e-01	1.600000e-01	2.375877e-14	4.822503e-11
10	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	605	3	0	1	0	5	0	7	12	10	11	5.367856e-14	5.090000e-01	5.910000e-01	1.097789e-12	2.005440e-09
11	MAP2K4	mitogen-activated protein kinase kinase 4	1242	2	0	0	12	5	3	12	32	32	28	2.944233e-12	1.600000e-02	4.610000e-01	3.886447e-12	6.454328e-09
12	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	37	0	3	10	9	2	7	28	27	26	2.005497e-11	4.400000e-02	6.180000e-01	3.477918e-11	5.294550e-08
13	FOXA1	forkhead box A1	1423	13	0	0	19	0	0	5	24	23	16	1.363299e-08	6.000000e-05	1.663400e-01	1.005913e-10	1.413540e-07
14	GPS2	G protein pathway suppressor 2	1788	2	0	1	0	1	2	7	10	10	10	3.393884e-11	1	9.000000e-02	2.558463e-10	3.338429e-07
15	TBX3	T-box 3 (ulnar mammary syndrome)	2260	50	0	1	8	1	1	17	27	27	26	4.825181e-11	7.000000e-01	9.670000e-01	1.194454e-09	1.454685e-06
16	RB1	retinoblastoma 1 (including osteosarcoma)	3716	70	0	3	5	10	1	6	22	19	21	1.254544e-10	4.520000e-01	4.640000e-01	1.785982e-09	2.039145e-06
17	CTCF	CCCTC-binding factor (zinc finger protein)	2224	27	0	3	9	4	1	2	16	16	14	1.580524e-05	7.700000e-04	1.100000e-04	3.724994e-09	4.002835e-06
18	RBMX	RNA binding motif protein, X-linked	1265	450	0	1	3	0	0	10	13	13	5	2.823021e-05	1.000000e-05	4.300600e-01	6.489573e-09	6.586195e-06
19	HRNR	hornerin	8561	20	0	9	27	2	0	5	34	31	28	1.637527e-03	1.000000e-05	9.788400e-01	3.099428e-07	2.980018e-04
20	ZMYM3	zinc finger, MYM-type 3	4227	3	0	1	6	1	1	7	15	15	13	1.993719e-06	7.800000e-03	9.393000e-01	3.663630e-07	3.346360e-04
21	NCOR1	nuclear receptor co-repressor 1	7666	0	0	2	19	11	3	8	41	40	39	1.066808e-07	1.350000e-01	2.330000e-01	4.038443e-07	3.513061e-04
22	GPRIN2	G protein regulated inducer of neurite outgrowth 2	1381	128	0	2	9	0	0	2	11	11	7	5.383140e-05	2.428571e-04	5.775857e-01	5.628311e-07	4.673545e-04
23	SPEN	spen homolog, transcriptional regulator (Drosophila)	11051	24	0	12	18	7	1	15	41	32	39	8.869381e-07	6.700000e-02	5.870000e-01	1.471230e-06	1.168540e-03
24	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	12120	4	0	2	10	8	3	9	30	28	29	4.866025e-07	2.610000e-01	6.800000e-01	2.649906e-06	1.963040e-03
25	TCP11	t-complex 11 homolog (mouse)	1639	2	0	0	2	0	0	4	6	6	3	4.036360e-04	1.666667e-04	9.902000e-01	2.686447e-06	1.963040e-03
26	SF3B1	splicing factor 3b, subunit 1, 155kDa	4035	20	0	2	15	1	0	0	16	16	9	2.523340e-02	1.000000e-05	4.749000e-02	4.085922e-06	2.870831e-03
27	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	3896	22	0	2	21	0	0	0	21	20	14	2.653685e-02	1.000000e-05	7.600000e-04	4.283617e-06	2.898264e-03
28	RAB42	RAB42, member RAS oncogene family	318	195	0	0	1	0	0	3	4	4	2	7.203576e-03	7.600000e-04	4.684000e-02	1.090875e-05	7.117180e-03
29	CDC42EP1	CDC42 effector protein (Rho GTPase binding) 1	1180	12	0	2	2	0	0	3	5	5	3	5.257242e-04	1.200000e-03	9.999500e-01	1.297499e-05	8.173351e-03
